"","Region","MetropolitanStatus","Age","Sex","MaritalStatus","EdCode","Education","JobClass","WeeklyEarnings"
"1028","Midwest","Metropolitan",49,"Male","Married",39,"HighSchoolDiploma","LocalGov",706.8
"1029","West","Metropolitan",63,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",1403.84
"1030","Midwest","Not Metropolitan",45,"Male","Married",39,"HighSchoolDiploma","LocalGov",1192
"1031","South","Metropolitan",44,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",360
"1032","West","Metropolitan",57,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",898.82
"1033","West","Metropolitan",41,"Female","Married",44,"MastersDegree","LocalGov",1423.07
"1034","South","Metropolitan",53,"Male","Married",43,"BachelorsDegree","LocalGov",1615.38
"1035","West","Metropolitan",60,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",923
"1036","South","Metropolitan",31,"Male","Not Married",40,"SomeCollegeButNoDegree","LocalGov",415
"1037","Northeast","Metropolitan",47,"Female","Married",44,"MastersDegree","LocalGov",1538.46
"1038","South","Metropolitan",57,"Female","Not Married",43,"BachelorsDegree","LocalGov",1192.3
"1039","Midwest","Metropolitan",48,"Female","Married",41,"AssocDegOccupVocat","LocalGov",692.3
"1040","South","Metropolitan",53,"Female","Not Married",39,"HighSchoolDiploma","LocalGov",473.2
"1041","Northeast","Metropolitan",58,"Female","Married",39,"HighSchoolDiploma","LocalGov",300
"1042","Midwest","Not Metropolitan",26,"Male","Married",39,"HighSchoolDiploma","LocalGov",614.4
"1043","West","Metropolitan",34,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",923
"1044","West","Metropolitan",54,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",1040
"1045","South","Not Identified",67,"Female","Married",39,"HighSchoolDiploma","LocalGov",415.38
"1046","South","Metropolitan",58,"Male","Not Married",40,"SomeCollegeButNoDegree","LocalGov",520
"1047","Midwest","Not Metropolitan",39,"Female","Married",39,"HighSchoolDiploma","LocalGov",400
"1048","South","Metropolitan",23,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",443.6
"1049","South","Metropolitan",40,"Female","Married",44,"MastersDegree","LocalGov",730.76
"1050","Midwest","Metropolitan",59,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",673.07
"1051","South","Metropolitan",57,"Female","Not Married",43,"BachelorsDegree","LocalGov",1545.45
"1052","West","Metropolitan",29,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",769.23
"1053","Midwest","Metropolitan",35,"Female","Not Married",43,"BachelorsDegree","LocalGov",769.23
"1054","South","Not Metropolitan",32,"Male","Not Married",40,"SomeCollegeButNoDegree","LocalGov",300
"1055","South","Metropolitan",35,"Female","Married",42,"AssocDegAcadem","LocalGov",538.46
"1056","Northeast","Not Metropolitan",43,"Female","Not Married",43,"BachelorsDegree","LocalGov",800
"1057","Midwest","Metropolitan",51,"Male","Married",43,"BachelorsDegree","LocalGov",900
"1058","Midwest","Not Metropolitan",59,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",400
"1059","West","Metropolitan",26,"Male","Not Married",40,"SomeCollegeButNoDegree","LocalGov",340
"1060","Northeast","Metropolitan",58,"Female","Not Married",44,"MastersDegree","LocalGov",1041
"1061","Northeast","Metropolitan",44,"Female","Not Married",39,"HighSchoolDiploma","LocalGov",500
"1062","West","Metropolitan",55,"Male","Married",46,"DoctorateDegree","LocalGov",807
"1063","South","Metropolitan",52,"Female","Married",44,"MastersDegree","LocalGov",1096
"1064","South","Metropolitan",45,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",1152
"1065","West","Not Identified",64,"Male","Married",42,"AssocDegAcadem","LocalGov",884.61
"1066","West","Metropolitan",33,"Male","Married",44,"MastersDegree","LocalGov",1250
"1067","Northeast","Metropolitan",51,"Female","Not Married",44,"MastersDegree","LocalGov",2115.38
"1068","West","Not Metropolitan",48,"Female","Not Married",40,"SomeCollegeButNoDegree","LocalGov",600
"1069","South","Metropolitan",25,"Female","Not Married",44,"MastersDegree","LocalGov",450
"1070","Midwest","Not Metropolitan",23,"Male","Not Married",43,"BachelorsDegree","LocalGov",600
"1071","South","Metropolitan",41,"Female","Married",43,"BachelorsDegree","LocalGov",853.84
"1072","South","Metropolitan",34,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",480
"1073","South","Not Metropolitan",55,"Female","Married",41,"AssocDegOccupVocat","LocalGov",325
"1074","Midwest","Metropolitan",57,"Female","Not Married",42,"AssocDegAcadem","LocalGov",650
"1075","West","Not Metropolitan",56,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",253.84
"1076","South","Not Metropolitan",47,"Female","Married",43,"BachelorsDegree","LocalGov",800
"1077","Midwest","Metropolitan",49,"Male","Married",44,"MastersDegree","LocalGov",1384
"1078","Northeast","Metropolitan",63,"Male","Not Married",43,"BachelorsDegree","LocalGov",961.53
"1079","Midwest","Not Metropolitan",56,"Female","Married",44,"MastersDegree","LocalGov",826
"1080","Northeast","Metropolitan",30,"Female","Married",44,"MastersDegree","LocalGov",1250
"1081","Midwest","Metropolitan",46,"Female","Married",39,"HighSchoolDiploma","LocalGov",612.5
"1082","Northeast","Metropolitan",57,"Female","Married",44,"MastersDegree","LocalGov",1692.3
"1083","South","Metropolitan",24,"Female","Married",39,"HighSchoolDiploma","LocalGov",461
"1084","South","Metropolitan",58,"Female","Married",44,"MastersDegree","LocalGov",1500
"1085","Northeast","Metropolitan",58,"Female","Not Married",40,"SomeCollegeButNoDegree","LocalGov",207.69
"1086","Midwest","Not Metropolitan",55,"Female","Married",39,"HighSchoolDiploma","LocalGov",1384
"1087","South","Metropolitan",57,"Male","Married",43,"BachelorsDegree","LocalGov",750
"1088","South","Metropolitan",48,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",490
"1089","South","Metropolitan",28,"Female","Married",39,"HighSchoolDiploma","LocalGov",346.15
"1090","Northeast","Metropolitan",50,"Male","Married",43,"BachelorsDegree","LocalGov",1711.53
"1091","Midwest","Metropolitan",57,"Male","Married",39,"HighSchoolDiploma","LocalGov",732
"1092","Midwest","Metropolitan",50,"Female","Married",42,"AssocDegAcadem","LocalGov",386.75
"1093","Northeast","Metropolitan",51,"Female","Not Married",44,"MastersDegree","LocalGov",850
"1094","Northeast","Metropolitan",51,"Female","Not Married",39,"HighSchoolDiploma","LocalGov",2057
"1095","South","Metropolitan",62,"Male","Not Married",43,"BachelorsDegree","LocalGov",1923.07
"1096","Midwest","Not Metropolitan",22,"Female","Not Married",40,"SomeCollegeButNoDegree","LocalGov",538
"1097","Midwest","Metropolitan",34,"Female","Married",44,"MastersDegree","LocalGov",1050
"1098","South","Not Metropolitan",56,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",901
"1099","South","Metropolitan",32,"Female","Married",45,"ProfSchoolDegree","LocalGov",2173.07
"1100","Northeast","Metropolitan",33,"Female","Married",44,"MastersDegree","LocalGov",1057.69
"1101","South","Metropolitan",73,"Male","Married",43,"BachelorsDegree","LocalGov",1000
"1102","Northeast","Metropolitan",51,"Female","Married",43,"BachelorsDegree","LocalGov",750
"1103","Midwest","Metropolitan",37,"Female","Married",44,"MastersDegree","LocalGov",1692.3
"1104","South","Metropolitan",51,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",250
"1105","Northeast","Metropolitan",46,"Female","Married",43,"BachelorsDegree","LocalGov",1346.15
"1106","Midwest","Not Metropolitan",44,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",480
"1107","Midwest","Not Metropolitan",55,"Female","Married",39,"HighSchoolDiploma","LocalGov",231
"1108","West","Not Metropolitan",43,"Male","Married",44,"MastersDegree","LocalGov",1538.46
"1109","South","Metropolitan",64,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",584
"1110","West","Metropolitan",50,"Male","Not Married",41,"AssocDegOccupVocat","LocalGov",1508
"1111","Northeast","Metropolitan",46,"Male","Married",39,"HighSchoolDiploma","LocalGov",1336.8
"1112","West","Metropolitan",40,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",480.8
"1113","South","Not Metropolitan",55,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",980.76
"1114","Midwest","Not Metropolitan",25,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",780
"1115","Northeast","Metropolitan",26,"Male","Not Married",40,"SomeCollegeButNoDegree","LocalGov",500
"1116","West","Metropolitan",50,"Female","Not Married",43,"BachelorsDegree","LocalGov",2.05
"1117","Midwest","Not Metropolitan",49,"Male","Married",43,"BachelorsDegree","LocalGov",738.46
"1118","South","Metropolitan",34,"Male","Married",41,"AssocDegOccupVocat","LocalGov",1189.44
"1119","Midwest","Not Metropolitan",57,"Male","Married",43,"BachelorsDegree","LocalGov",1384
"1120","South","Metropolitan",54,"Female","Not Married",39,"HighSchoolDiploma","LocalGov",369.23
"1121","South","Not Metropolitan",64,"Female","Married",44,"MastersDegree","LocalGov",961.53
"1122","Midwest","Metropolitan",35,"Male","Married",43,"BachelorsDegree","LocalGov",1000
"1123","South","Not Metropolitan",55,"Female","Married",42,"AssocDegAcadem","LocalGov",1000
"1124","West","Metropolitan",44,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",889
"1125","West","Not Metropolitan",61,"Male","Married",44,"MastersDegree","LocalGov",1173
"1126","West","Metropolitan",43,"Female","Married",44,"MastersDegree","LocalGov",1944.44
"1127","South","Metropolitan",64,"Female","Married",39,"HighSchoolDiploma","LocalGov",730
"1128","South","Metropolitan",43,"Male","Not Married",40,"SomeCollegeButNoDegree","LocalGov",876.92
"1129","West","Metropolitan",34,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",1280
"1130","Midwest","Metropolitan",36,"Female","Married",44,"MastersDegree","LocalGov",1057.69
"1131","Midwest","Not Metropolitan",60,"Male","Not Married",42,"AssocDegAcadem","LocalGov",550
"1132","Northeast","Metropolitan",45,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",841
"1133","South","Metropolitan",25,"Female","Married",43,"BachelorsDegree","LocalGov",330
"1134","West","Metropolitan",48,"Male","Married",34,"SeventhOrEighthGrade","LocalGov",630
"1135","West","Metropolitan",25,"Female","Not Married",40,"SomeCollegeButNoDegree","LocalGov",369.23
"1136","Northeast","Metropolitan",55,"Female","Married",39,"HighSchoolDiploma","LocalGov",652.05
"1137","Northeast","Metropolitan",48,"Male","Married",43,"BachelorsDegree","LocalGov",1538.46
"1138","Midwest","Metropolitan",59,"Male","Married",39,"HighSchoolDiploma","LocalGov",192
"1139","Midwest","Metropolitan",45,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",769.23
"1140","West","Metropolitan",46,"Male","Married",43,"BachelorsDegree","LocalGov",784.61
"1141","South","Metropolitan",40,"Female","Not Married",40,"SomeCollegeButNoDegree","LocalGov",650
"1142","West","Metropolitan",55,"Female","Not Married",43,"BachelorsDegree","LocalGov",894.23
"1143","South","Metropolitan",29,"Female","Married",43,"BachelorsDegree","LocalGov",730.76
"1144","Northeast","Metropolitan",54,"Female","Not Married",43,"BachelorsDegree","LocalGov",1314.55
"1145","Northeast","Metropolitan",25,"Female","Not Married",44,"MastersDegree","LocalGov",875
"1146","South","Metropolitan",66,"Female","Married",42,"AssocDegAcadem","LocalGov",580
"1147","West","Not Metropolitan",64,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",1418.84
"1148","South","Metropolitan",51,"Male","Married",39,"HighSchoolDiploma","LocalGov",1057.69
"1149","West","Metropolitan",54,"Female","Married",43,"BachelorsDegree","LocalGov",1442.3
"1150","Midwest","Not Metropolitan",27,"Male","Not Married",40,"SomeCollegeButNoDegree","LocalGov",600
"1151","Northeast","Metropolitan",64,"Male","Married",44,"MastersDegree","LocalGov",1980.76
"1152","Northeast","Metropolitan",50,"Male","Married",45,"ProfSchoolDegree","LocalGov",1653.84
"1153","Midwest","Not Metropolitan",56,"Female","Not Married",39,"HighSchoolDiploma","LocalGov",740
"1154","South","Metropolitan",38,"Female","Married",44,"MastersDegree","LocalGov",276.92
"1155","Midwest","Metropolitan",43,"Male","Married",42,"AssocDegAcadem","LocalGov",865.38
"1156","Northeast","Metropolitan",57,"Male","Married",44,"MastersDegree","LocalGov",1500
"1157","Northeast","Metropolitan",37,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",1153.84
"1158","South","Metropolitan",47,"Female","Married",39,"HighSchoolDiploma","LocalGov",600
"1159","Midwest","Metropolitan",55,"Male","Married",44,"MastersDegree","LocalGov",992.3
"1160","Northeast","Metropolitan",59,"Female","Married",44,"MastersDegree","LocalGov",1346.15
"1161","South","Metropolitan",51,"Male","Married",42,"AssocDegAcadem","LocalGov",440
"1162","South","Metropolitan",45,"Female","Not Married",44,"MastersDegree","LocalGov",1153.84
"1163","South","Metropolitan",40,"Female","Married",43,"BachelorsDegree","LocalGov",823.07
"1164","Midwest","Metropolitan",46,"Female","Married",44,"MastersDegree","LocalGov",380.1
"1165","Midwest","Metropolitan",22,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",1006.5
"1166","South","Metropolitan",43,"Female","Not Married",40,"SomeCollegeButNoDegree","LocalGov",865.38
"1167","Midwest","Metropolitan",52,"Female","Married",44,"MastersDegree","LocalGov",1300
"1168","West","Metropolitan",55,"Female","Married",44,"MastersDegree","LocalGov",1153.84
"1169","West","Metropolitan",55,"Male","Not Married",43,"BachelorsDegree","LocalGov",1538.46
"1170","South","Metropolitan",37,"Male","Married",43,"BachelorsDegree","LocalGov",865.38
"1171","South","Not Metropolitan",24,"Female","Not Married",42,"AssocDegAcadem","LocalGov",153.84
"1172","Midwest","Not Metropolitan",42,"Male","Not Married",40,"SomeCollegeButNoDegree","LocalGov",1038.46
"1173","South","Metropolitan",45,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",1115
"1174","Midwest","Not Metropolitan",48,"Male","Married",39,"HighSchoolDiploma","LocalGov",632
"1175","Northeast","Not Metropolitan",55,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",381.2
"1176","Northeast","Metropolitan",58,"Male","Married",44,"MastersDegree","LocalGov",1461.53
"1177","Midwest","Not Metropolitan",48,"Female","Not Married",39,"HighSchoolDiploma","LocalGov",600
"1178","West","Metropolitan",43,"Male","Married",38,"TwelthButNoDiploma","LocalGov",615.38
"1179","West","Metropolitan",43,"Male","Married",44,"MastersDegree","LocalGov",1975
"1180","Northeast","Not Metropolitan",23,"Female","Not Married",44,"MastersDegree","LocalGov",874
"1181","West","Metropolitan",56,"Male","Married",44,"MastersDegree","LocalGov",1153.84
"1182","South","Not Metropolitan",44,"Male","Married",39,"HighSchoolDiploma","LocalGov",1000
"1183","South","Metropolitan",61,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",1365.38
"1184","West","Metropolitan",29,"Female","Not Married",40,"SomeCollegeButNoDegree","LocalGov",1384.61
"1185","South","Metropolitan",45,"Male","Married",41,"AssocDegOccupVocat","LocalGov",673
"1186","West","Metropolitan",34,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",805
"1187","Midwest","Metropolitan",23,"Male","Not Married",43,"BachelorsDegree","LocalGov",1269.23
"1188","South","Metropolitan",44,"Female","Married",44,"MastersDegree","LocalGov",1687.5
"1189","South","Metropolitan",26,"Female","Not Married",44,"MastersDegree","LocalGov",1250
"1190","Midwest","Metropolitan",27,"Female","Not Married",44,"MastersDegree","LocalGov",1057.69
"1191","Northeast","Metropolitan",51,"Female","Married",39,"HighSchoolDiploma","LocalGov",807
"1192","Northeast","Metropolitan",59,"Male","Not Married",46,"DoctorateDegree","LocalGov",961
"1193","Northeast","Not Metropolitan",27,"Female","Not Married",44,"MastersDegree","LocalGov",1548
"1194","West","Not Metropolitan",63,"Female","Married",39,"HighSchoolDiploma","LocalGov",774.65
"1195","West","Metropolitan",49,"Female","Not Married",43,"BachelorsDegree","LocalGov",769.23
"1196","West","Not Metropolitan",29,"Male","Married",39,"HighSchoolDiploma","LocalGov",680
"1197","West","Metropolitan",34,"Male","Married",42,"AssocDegAcadem","LocalGov",1600
"1198","Northeast","Metropolitan",38,"Female","Married",39,"HighSchoolDiploma","LocalGov",461.53
"1199","West","Not Metropolitan",34,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",1154
"1200","West","Metropolitan",45,"Male","Married",43,"BachelorsDegree","LocalGov",2576.92
"1201","South","Metropolitan",61,"Female","Married",42,"AssocDegAcadem","LocalGov",300
"1202","West","Not Metropolitan",49,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",463.75
"1203","South","Metropolitan",53,"Female","Married",39,"HighSchoolDiploma","LocalGov",961.53
"1204","West","Metropolitan",63,"Male","Not Married",44,"MastersDegree","LocalGov",2125
"1205","South","Metropolitan",49,"Male","Married",39,"HighSchoolDiploma","LocalGov",380
"1206","South","Metropolitan",62,"Male","Married",43,"BachelorsDegree","LocalGov",673.07
"1207","Midwest","Not Metropolitan",32,"Female","Married",42,"AssocDegAcadem","LocalGov",1040
"1208","West","Metropolitan",52,"Female","Married",39,"HighSchoolDiploma","LocalGov",471
"1209","West","Metropolitan",44,"Female","Married",43,"BachelorsDegree","LocalGov",1384.61
"1210","South","Not Metropolitan",49,"Female","Married",44,"MastersDegree","LocalGov",807.69
"1211","South","Metropolitan",77,"Female","Married",40,"SomeCollegeButNoDegree","LocalGov",300
"1212","South","Metropolitan",39,"Female","Not Married",43,"BachelorsDegree","LocalGov",1781.25
"1213","Northeast","Metropolitan",47,"Female","Married",43,"BachelorsDegree","LocalGov",1061.53
"1214","West","Metropolitan",30,"Male","Married",43,"BachelorsDegree","LocalGov",1120
"1215","West","Metropolitan",60,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",760
"1216","West","Metropolitan",33,"Female","Married",39,"HighSchoolDiploma","LocalGov",846.4
"1217","West","Metropolitan",53,"Male","Not Married",44,"MastersDegree","LocalGov",830
"1218","Northeast","Metropolitan",25,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",1480.76
"1219","West","Not Metropolitan",46,"Female","Not Married",43,"BachelorsDegree","LocalGov",750
"1220","Midwest","Metropolitan",52,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",865.38
"1221","Midwest","Metropolitan",42,"Male","Not Married",40,"SomeCollegeButNoDegree","LocalGov",1307.69
"1222","Northeast","Metropolitan",67,"Female","Married",46,"DoctorateDegree","LocalGov",2038.46
"1223","Northeast","Metropolitan",31,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",400
"1224","South","Metropolitan",29,"Female","Married",41,"AssocDegOccupVocat","LocalGov",900
"1225","Northeast","Metropolitan",76,"Male","Married",39,"HighSchoolDiploma","LocalGov",480
"1226","Midwest","Metropolitan",45,"Female","Married",44,"MastersDegree","LocalGov",1057.69
"1227","Midwest","Not Metropolitan",49,"Female","Married",43,"BachelorsDegree","LocalGov",2403
"1228","South","Metropolitan",43,"Female","Not Married",43,"BachelorsDegree","LocalGov",807.69
"1229","Midwest","Metropolitan",67,"Male","Married",41,"AssocDegOccupVocat","LocalGov",1165
"1230","Midwest","Metropolitan",64,"Female","Married",39,"HighSchoolDiploma","LocalGov",600
"1231","South","Metropolitan",45,"Female","Married",44,"MastersDegree","LocalGov",1634.61
"1232","West","Metropolitan",41,"Male","Not Married",39,"HighSchoolDiploma","LocalGov",880
"1233","Northeast","Metropolitan",37,"Male","Married",40,"SomeCollegeButNoDegree","LocalGov",636.8
"1234","Northeast","Not Metropolitan",20,"Male","Not Married",39,"HighSchoolDiploma","Private",467.5
"1235","West","Metropolitan",59,"Male","Married",43,"BachelorsDegree","Private",1269
"1236","West","Metropolitan",62,"Male","Married",34,"SeventhOrEighthGrade","Private",1222
"1237","West","Metropolitan",39,"Male","Married",39,"HighSchoolDiploma","Private",276.92
"1238","South","Not Metropolitan",60,"Female","Married",36,"TenthGrade","Private",426.3
"1239","South","Metropolitan",23,"Male","Not Married",43,"BachelorsDegree","Private",1150
"1240","West","Not Metropolitan",19,"Female","Married",39,"HighSchoolDiploma","Private",485.2
"1241","South","Metropolitan",37,"Male","Married",40,"SomeCollegeButNoDegree","Private",680
"1242","Northeast","Metropolitan",20,"Female","Not Married",40,"SomeCollegeButNoDegree","Private",276
"1243","Midwest","Not Metropolitan",53,"Female","Married",40,"SomeCollegeButNoDegree","Private",400
"1244","West","Metropolitan",41,"Male","Married",43,"BachelorsDegree","Private",2884.61
"1245","West","Metropolitan",48,"Male","Married",43,"BachelorsDegree","Private",2500
"1246","South","Metropolitan",29,"Male","Married",43,"BachelorsDegree","Private",600
"1247","Northeast","Metropolitan",28,"Male","Married",39,"HighSchoolDiploma","Private",961
"1248","South","Metropolitan",44,"Female","Not Married",43,"BachelorsDegree","Private",865.38
"1249","Midwest","Metropolitan",35,"Female","Married",39,"HighSchoolDiploma","Private",403.84
"1250","Midwest","Metropolitan",58,"Male","Married",43,"BachelorsDegree","Private",900
"1251","Northeast","Metropolitan",22,"Female","Not Married",43,"BachelorsDegree","Private",519.23
"1252","Midwest","Metropolitan",44,"Male","Not Married",41,"AssocDegOccupVocat","Private",1606.71
"1253","West","Not Metropolitan",27,"Female","Not Married",38,"TwelthButNoDiploma","Private",315.4
"1254","South","Metropolitan",60,"Male","Married",39,"HighSchoolDiploma","Private",807.69
"1255","West","Metropolitan",42,"Female","Married",42,"AssocDegAcadem","Private",942
"1256","South","Metropolitan",43,"Male","Not Married",43,"BachelorsDegree","Private",2403.84
"1257","West","Metropolitan",33,"Female","Married",40,"SomeCollegeButNoDegree","Private",567.2
"1258","South","Metropolitan",53,"Male","Not Married",43,"BachelorsDegree","Private",1153
"1259","West","Metropolitan",42,"Male","Married",39,"HighSchoolDiploma","Private",680
"1260","South","Metropolitan",63,"Male","Married",39,"HighSchoolDiploma","Private",960
"1261","Northeast","Not Metropolitan",29,"Male","Not Married",39,"HighSchoolDiploma","Private",400
"1262","West","Metropolitan",35,"Male","Married",40,"SomeCollegeButNoDegree","Private",1461
"1263","West","Metropolitan",42,"Male","Married",39,"HighSchoolDiploma","Private",1280
"1264","West","Metropolitan",32,"Female","Married",40,"SomeCollegeButNoDegree","Private",480
"1265","South","Metropolitan",45,"Female","Not Married",43,"BachelorsDegree","Private",1501.6
"1266","West","Not Metropolitan",58,"Male","Married",44,"MastersDegree","Private",961.53
"1267","Northeast","Not Metropolitan",51,"Male","Married",42,"AssocDegAcadem","Private",826
"1268","Midwest","Metropolitan",43,"Male","Married",39,"HighSchoolDiploma","Private",1722
"1269","South","Metropolitan",37,"Female","Married",39,"HighSchoolDiploma","Private",769.23
"1270","West","Metropolitan",31,"Male","Married",40,"SomeCollegeButNoDegree","Private",553.84
"1271","Midwest","Metropolitan",47,"Male","Married",43,"BachelorsDegree","Private",1057.69
"1272","Midwest","Not Metropolitan",54,"Female","Married",41,"AssocDegOccupVocat","Private",462
"1273","South","Metropolitan",63,"Female","Married",39,"HighSchoolDiploma","Private",600
"1274","West","Metropolitan",26,"Male","Not Married",39,"HighSchoolDiploma","Private",480.76
"1275","Midwest","Metropolitan",52,"Male","Married",41,"AssocDegOccupVocat","Private",1153.84
"1276","South","Metropolitan",30,"Female","Not Married",41,"AssocDegOccupVocat","Private",288.46
"1277","Northeast","Metropolitan",48,"Female","Married",39,"HighSchoolDiploma","Private",684.19
"1278","Northeast","Not Metropolitan",56,"Female","Not Married",39,"HighSchoolDiploma","Private",420.8
"1279","Midwest","Metropolitan",33,"Male","Married",39,"HighSchoolDiploma","Private",920
"1280","West","Metropolitan",38,"Male","Married",35,"NinthGrade","Private",750
"1281","Midwest","Metropolitan",29,"Female","Not Married",42,"AssocDegAcadem","Private",500
"1282","West","Metropolitan",43,"Male","Not Married",42,"AssocDegAcadem","Private",2259.98
"1283","West","Not Metropolitan",27,"Male","Not Married",43,"BachelorsDegree","Private",640
"1284","South","Metropolitan",33,"Female","Married",39,"HighSchoolDiploma","Private",704
"1285","West","Metropolitan",28,"Female","Not Married",39,"HighSchoolDiploma","Private",549.2
"1286","Midwest","Metropolitan",47,"Male","Not Married",41,"AssocDegOccupVocat","Private",1153.84
"1287","Northeast","Metropolitan",25,"Male","Not Married",40,"SomeCollegeButNoDegree","Private",434.8
"1288","Northeast","Metropolitan",53,"Female","Married",42,"AssocDegAcadem","Private",1300
"1289","West","Metropolitan",34,"Female","Married",43,"BachelorsDegree","Private",530
"1290","South","Not Metropolitan",62,"Female","Married",39,"HighSchoolDiploma","Private",608
"1291","West","Metropolitan",42,"Female","Married",39,"HighSchoolDiploma","Private",375
"1292","South","Not Metropolitan",33,"Female","Married",45,"ProfSchoolDegree","Private",730.8
"1293","Midwest","Not Metropolitan",64,"Male","Married",40,"SomeCollegeButNoDegree","Private",961.53
"1294","South","Metropolitan",29,"Female","Not Married",37,"EleventhGrade","Private",320
"1295","Midwest","Metropolitan",35,"Male","Married",39,"HighSchoolDiploma","Private",480
"1296","Midwest","Metropolitan",28,"Male","Not Married",43,"BachelorsDegree","Private",1384.61
"1297","Midwest","Metropolitan",34,"Male","Married",39,"HighSchoolDiploma","Private",835
"1298","West","Not Metropolitan",21,"Male","Not Married",37,"EleventhGrade","Private",340
"1299","South","Metropolitan",38,"Male","Not Married",44,"MastersDegree","Private",480
"1300","West","Metropolitan",27,"Female","Married",40,"SomeCollegeButNoDegree","Private",375
"1301","South","Metropolitan",45,"Female","Not Married",40,"SomeCollegeButNoDegree","Private",1115.38
"1302","West","Metropolitan",49,"Female","Married",31,"LessThanFirstGrade","Private",436
"1303","South","Metropolitan",45,"Male","Married",39,"HighSchoolDiploma","Private",961.53
"1304","South","Metropolitan",47,"Male","Married",43,"BachelorsDegree","Private",1846.15
"1305","South","Metropolitan",56,"Female","Not Married",40,"SomeCollegeButNoDegree","Private",1461.53
"1306","Northeast","Metropolitan",56,"Male","Not Married",40,"SomeCollegeButNoDegree","Private",2692.3
"1307","South","Metropolitan",48,"Male","Married",43,"BachelorsDegree","Private",1307.69
"1308","Midwest","Metropolitan",35,"Male","Married",43,"BachelorsDegree","Private",2884
"1309","West","Metropolitan",53,"Male","Married",39,"HighSchoolDiploma","Private",550
"1310","South","Metropolitan",59,"Male","Married",42,"AssocDegAcadem","Private",700
"1311","South","Metropolitan",37,"Male","Married",43,"BachelorsDegree","Private",1211.53
"1312","South","Metropolitan",59,"Female","Married",43,"BachelorsDegree","Private",706
"1313","West","Metropolitan",38,"Female","Not Married",39,"HighSchoolDiploma","Private",969.23
"1314","West","Metropolitan",37,"Female","Married",36,"TenthGrade","Private",360
"1315","West","Metropolitan",23,"Female","Married",42,"AssocDegAcadem","Private",576.92
"1316","Midwest","Metropolitan",53,"Female","Married",43,"BachelorsDegree","Private",560
"1317","South","Metropolitan",43,"Male","Married",39,"HighSchoolDiploma","Private",673.07
"1318","South","Metropolitan",50,"Female","Married",42,"AssocDegAcadem","Private",961.53
"1319","Northeast","Not Metropolitan",41,"Male","Not Married",39,"HighSchoolDiploma","Private",560.5
"1320","South","Metropolitan",26,"Female","Not Married",39,"HighSchoolDiploma","Private",576.92
"1321","South","Metropolitan",34,"Female","Married",42,"AssocDegAcadem","Private",1200
"1322","Midwest","Metropolitan",29,"Female","Not Married",39,"HighSchoolDiploma","Private",480
"1323","Northeast","Not Metropolitan",56,"Male","Married",43,"BachelorsDegree","Private",300
"1324","Northeast","Metropolitan",32,"Female","Not Married",43,"BachelorsDegree","Private",2650
"1325","South","Not Metropolitan",51,"Male","Married",39,"HighSchoolDiploma","Private",923.07
"1326","South","Metropolitan",55,"Female","Married",39,"HighSchoolDiploma","Private",1346
"1327","South","Metropolitan",43,"Female","Married",42,"AssocDegAcadem","Private",392
"1328","South","Not Metropolitan",45,"Male","Not Married",35,"NinthGrade","Private",350
"1329","South","Not Metropolitan",34,"Male","Married",43,"BachelorsDegree","Private",576
