"","Region","MetropolitanStatus","Exper","Educ","Race","WeeklyEarnings"
"8043","South","MetropolitanArea",32,13,"NotBlack",918.75
"8044","Midwest","MetropolitanArea",24,16,"NotBlack",1423.46
"8045","Midwest","MetropolitanArea",11,16,"NotBlack",320.99
"8046","South","MetropolitanArea",9,14,"NotBlack",249.29
"8047","West","MetropolitanArea",27,12,"NotBlack",747.86
"8048","Northeast","MetropolitanArea",2,12,"NotBlack",419.75
"8049","West","NotMetropolitanArea",1,14,"NotBlack",474.45
"8050","West","MetropolitanArea",18,14,"NotBlack",309.85
"8051","Midwest","MetropolitanArea",26,2,"NotBlack",854.7
"8052","West","NotMetropolitanArea",9,11,"NotBlack",451.09
"8053","South","NotMetropolitanArea",41,16,"NotBlack",588.79
"8054","Midwest","NotMetropolitanArea",8,18,"NotBlack",514.91
"8055","Midwest","NotMetropolitanArea",16,16,"NotBlack",356.13
"8056","Midwest","MetropolitanArea",23,12,"NotBlack",1031.65
"8057","Northeast","MetropolitanArea",21,16,"NotBlack",854.7
"8058","Midwest","MetropolitanArea",22,8,"NotBlack",257.2
"8059","Midwest","MetropolitanArea",9,16,"Black",571.18
"8060","Midwest","MetropolitanArea",38,7,"NotBlack",484.14
"8061","South","MetropolitanArea",37,14,"NotBlack",766.46
"8062","Northeast","MetropolitanArea",6,14,"NotBlack",617.28
"8063","Midwest","MetropolitanArea",14,17,"NotBlack",997.15
"8064","Northeast","MetropolitanArea",26,16,"Black",370.37
"8065","Northeast","MetropolitanArea",18,12,"NotBlack",261.16
"8066","South","MetropolitanArea",6,14,"NotBlack",522.32
"8067","South","NotMetropolitanArea",15,12,"NotBlack",474.83
"8068","Northeast","MetropolitanArea",23,12,"Black",284.9
"8069","West","NotMetropolitanArea",5,12,"NotBlack",379.87
"8070","South","MetropolitanArea",9,13,"Black",830.96
"8071","South","MetropolitanArea",14,12,"NotBlack",664.77
"8072","Midwest","MetropolitanArea",21,15,"NotBlack",759.73
"8073","West","MetropolitanArea",4,10,"NotBlack",189.93
"8074","West","MetropolitanArea",15,15,"NotBlack",666.67
"8075","Northeast","MetropolitanArea",37,14,"NotBlack",701.23
"8076","South","MetropolitanArea",14,14,"NotBlack",712.25
"8077","Midwest","MetropolitanArea",3,12,"NotBlack",1424.5
"8078","Midwest","MetropolitanArea",12,14,"NotBlack",902.18
"8079","Northeast","NotMetropolitanArea",26,10,"NotBlack",522.32
"8080","Midwest","NotMetropolitanArea",31,12,"NotBlack",1187.08
"8081","South","MetropolitanArea",19,12,"NotBlack",997.15
"8082","West","MetropolitanArea",25,14,"NotBlack",759.73
"8083","South","MetropolitanArea",12,16,"NotBlack",216.05
"8084","West","NotMetropolitanArea",46,12,"NotBlack",182.02
"8085","South","MetropolitanArea",11,14,"NotBlack",546.06
"8086","South","MetropolitanArea",31,11,"Black",356.13
"8087","Midwest","MetropolitanArea",9,14,"NotBlack",705.47
"8088","Northeast","MetropolitanArea",20,12,"NotBlack",301.04
"8089","Northeast","MetropolitanArea",11,17,"NotBlack",1258.31
"8090","South","MetropolitanArea",41,12,"NotBlack",791.39
"8091","West","MetropolitanArea",36,9,"NotBlack",403.61
"8092","South","MetropolitanArea",10,13,"NotBlack",631.78
"8093","South","MetropolitanArea",7,14,"Black",308.64
"8094","Midwest","NotMetropolitanArea",12,12,"NotBlack",316
"8095","South","MetropolitanArea",9,16,"NotBlack",329.22
"8096","Northeast","MetropolitanArea",32,8,"NotBlack",296.3
"8097","South","MetropolitanArea",11,16,"NotBlack",522.32
"8098","Northeast","MetropolitanArea",52,12,"NotBlack",949.67
"8099","West","NotMetropolitanArea",50,12,"NotBlack",85.47
"8100","South","MetropolitanArea",14,14,"NotBlack",712.25
"8101","Midwest","MetropolitanArea",29,12,"NotBlack",664.77
"8102","West","NotMetropolitanArea",7,14,"NotBlack",341.88
"8103","South","MetropolitanArea",7,17,"NotBlack",261.16
"8104","Midwest","MetropolitanArea",26,12,"NotBlack",481.96
"8105","West","NotMetropolitanArea",13,16,"NotBlack",1258.31
"8106","South","MetropolitanArea",8,12,"Black",296.77
"8107","Midwest","MetropolitanArea",36,10,"NotBlack",949.67
"8108","West","MetropolitanArea",20,6,"NotBlack",237.42
"8109","South","NotMetropolitanArea",14,13,"NotBlack",313.58
"8110","South","MetropolitanArea",20,8,"NotBlack",284.9
"8111","South","MetropolitanArea",5,17,"Black",712.25
"8112","South","MetropolitanArea",4,16,"NotBlack",522.32
"8113","Midwest","MetropolitanArea",16,12,"NotBlack",469.14
"8114","Northeast","MetropolitanArea",15,12,"NotBlack",395.06
"8115","West","MetropolitanArea",11,12,"NotBlack",261.16
"8116","West","MetropolitanArea",39,18,"NotBlack",2374.15
"8117","Midwest","MetropolitanArea",13,16,"NotBlack",756.62
"8118","Midwest","MetropolitanArea",14,14,"Black",712.25
"8119","South","NotMetropolitanArea",22,12,"NotBlack",1234.57
"8120","Midwest","NotMetropolitanArea",12,13,"NotBlack",110.3
"8121","West","NotMetropolitanArea",13,12,"NotBlack",323.69
"8122","Midwest","MetropolitanArea",12,16,"NotBlack",358.02
"8123","Northeast","MetropolitanArea",5,12,"NotBlack",261.16
"8124","West","MetropolitanArea",4,13,"NotBlack",439.22
"8125","South","MetropolitanArea",11,12,"NotBlack",334.36
"8126","South","MetropolitanArea",13,12,"NotBlack",474.15
"8127","South","MetropolitanArea",14,15,"NotBlack",1044.63
"8128","Northeast","MetropolitanArea",11,10,"Black",949.67
"8129","South","NotMetropolitanArea",20,18,"NotBlack",638.94
"8130","Midwest","MetropolitanArea",20,12,"NotBlack",830.96
"8131","South","MetropolitanArea",25,16,"NotBlack",536.87
"8132","South","MetropolitanArea",4,16,"NotBlack",370.37
"8133","Midwest","MetropolitanArea",13,14,"NotBlack",973.41
"8134","South","MetropolitanArea",34,9,"NotBlack",593.54
"8135","South","MetropolitanArea",7,16,"NotBlack",2112.48
"8136","Midwest","MetropolitanArea",8,16,"NotBlack",819.09
"8137","Northeast","MetropolitanArea",7,14,"NotBlack",688.51
"8138","Midwest","MetropolitanArea",21,12,"NotBlack",474.83
"8139","West","MetropolitanArea",16,18,"Black",1424.5
"8140","South","NotMetropolitanArea",14,12,"NotBlack",356.13
"8141","Northeast","MetropolitanArea",39,18,"NotBlack",2374.15
"8142","South","NotMetropolitanArea",21,13,"NotBlack",551.62
"8143","West","MetropolitanArea",18,12,"NotBlack",356.13
"8144","Northeast","MetropolitanArea",20,15,"NotBlack",925.93
"8145","Midwest","NotMetropolitanArea",0,12,"NotBlack",237.42
"8146","Midwest","NotMetropolitanArea",9,12,"NotBlack",622.03
"8147","Northeast","MetropolitanArea",17,12,"NotBlack",123.46
"8148","Midwest","MetropolitanArea",20,14,"NotBlack",1187.08
"8149","Midwest","MetropolitanArea",22,12,"Black",275.4
"8150","Northeast","MetropolitanArea",20,9,"NotBlack",377.49
"8151","Midwest","NotMetropolitanArea",26,10,"NotBlack",527.83
"8152","Northeast","MetropolitanArea",18,13,"NotBlack",1163.34
"8153","South","NotMetropolitanArea",21,12,"NotBlack",546.06
"8154","Northeast","MetropolitanArea",43,10,"NotBlack",525.43
"8155","West","MetropolitanArea",9,14,"NotBlack",830.96
"8156","Midwest","MetropolitanArea",33,9,"NotBlack",261.16
"8157","Midwest","MetropolitanArea",13,13,"NotBlack",913.58
"8158","South","MetropolitanArea",7,18,"NotBlack",510.45
"8159","Midwest","MetropolitanArea",17,16,"NotBlack",1219.51
"8160","South","MetropolitanArea",36,16,"NotBlack",1305.79
"8161","Midwest","MetropolitanArea",24,12,"NotBlack",688.51
"8162","South","MetropolitanArea",16,18,"NotBlack",918.8
"8163","Northeast","MetropolitanArea",12,16,"NotBlack",308.64
"8164","West","NotMetropolitanArea",46,9,"NotBlack",495.94
"8165","West","NotMetropolitanArea",54,3,"NotBlack",241.98
"8166","Northeast","MetropolitanArea",25,14,"NotBlack",759.73
"8167","South","NotMetropolitanArea",30,5,"NotBlack",387.23
"8168","Midwest","MetropolitanArea",2,12,"NotBlack",253.88
"8169","West","MetropolitanArea",1,16,"NotBlack",641.03
"8170","Midwest","NotMetropolitanArea",9,16,"NotBlack",878.44
"8171","Northeast","MetropolitanArea",13,16,"NotBlack",1139.6
"8172","West","MetropolitanArea",15,12,"NotBlack",345.68
"8173","South","MetropolitanArea",24,12,"NotBlack",593.54
"8174","West","MetropolitanArea",12,12,"NotBlack",617.28
"8175","Northeast","MetropolitanArea",26,12,"Black",339.51
"8176","West","MetropolitanArea",19,6,"NotBlack",284.9
"8177","Northeast","MetropolitanArea",15,14,"NotBlack",676.64
"8178","Midwest","NotMetropolitanArea",8,12,"NotBlack",231.48
"8179","South","MetropolitanArea",9,12,"NotBlack",474.83
"8180","South","MetropolitanArea",42,4,"NotBlack",209.88
"8181","Midwest","MetropolitanArea",24,12,"NotBlack",451.09
"8182","South","MetropolitanArea",24,12,"NotBlack",949.67
"8183","South","MetropolitanArea",38,12,"NotBlack",925.93
"8184","West","NotMetropolitanArea",2,18,"NotBlack",221.37
"8185","South","MetropolitanArea",17,12,"Black",712.25
"8186","West","MetropolitanArea",3,16,"NotBlack",740.74
"8187","West","MetropolitanArea",14,13,"NotBlack",641.03
"8188","Midwest","NotMetropolitanArea",5,12,"NotBlack",522.32
"8189","South","MetropolitanArea",5,12,"NotBlack",189.93
"8190","Northeast","NotMetropolitanArea",6,12,"NotBlack",289.65
"8191","South","MetropolitanArea",20,16,"NotBlack",712.25
"8192","Midwest","MetropolitanArea",32,15,"NotBlack",997.15
"8193","South","NotMetropolitanArea",10,12,"NotBlack",823.05
"8194","South","MetropolitanArea",12,12,"NotBlack",498.58
"8195","South","MetropolitanArea",34,12,"NotBlack",296.77
"8196","South","MetropolitanArea",0,16,"Black",452.67
"8197","South","MetropolitanArea",7,12,"NotBlack",534.19
"8198","South","MetropolitanArea",15,2,"NotBlack",246.91
"8199","South","MetropolitanArea",6,18,"NotBlack",716.05
"8200","South","MetropolitanArea",1,12,"NotBlack",717.5
"8201","West","MetropolitanArea",26,14,"NotBlack",771.6
"8202","South","MetropolitanArea",36,11,"NotBlack",743.51
"8203","South","MetropolitanArea",39,12,"NotBlack",448.93
"8204","Midwest","MetropolitanArea",20,18,"NotBlack",1068.38
"8205","South","MetropolitanArea",19,18,"NotBlack",902.18
"8206","Midwest","NotMetropolitanArea",6,12,"NotBlack",284.9
"8207","South","NotMetropolitanArea",11,12,"NotBlack",415.48
"8208","South","MetropolitanArea",41,8,"NotBlack",524.69
"8209","Midwest","MetropolitanArea",0,18,"NotBlack",465.8
"8210","South","MetropolitanArea",29,13,"NotBlack",830.96
"8211","West","MetropolitanArea",20,16,"NotBlack",2374.15
"8212","South","MetropolitanArea",29,1,"NotBlack",1194.93
"8213","Northeast","MetropolitanArea",9,18,"NotBlack",593.54
"8214","Northeast","MetropolitanArea",31,5,"Black",209.88
"8215","Northeast","MetropolitanArea",39,11,"NotBlack",745.01
"8216","South","NotMetropolitanArea",23,8,"NotBlack",71.23
"8217","Northeast","MetropolitanArea",5,16,"NotBlack",474.83
"8218","South","MetropolitanArea",32,12,"NotBlack",268.71
"8219","Midwest","NotMetropolitanArea",13,12,"NotBlack",569.8
"8220","Northeast","MetropolitanArea",13,16,"NotBlack",692.81
"8221","Northeast","NotMetropolitanArea",12,12,"NotBlack",617.28
"8222","Northeast","NotMetropolitanArea",12,16,"NotBlack",546.06
"8223","Midwest","MetropolitanArea",17,10,"Black",246.91
"8224","West","MetropolitanArea",10,12,"NotBlack",352.73
"8225","West","MetropolitanArea",23,13,"NotBlack",370.37
"8226","South","MetropolitanArea",16,11,"Black",546.06
"8227","Midwest","NotMetropolitanArea",33,12,"NotBlack",469.21
"8228","West","MetropolitanArea",7,14,"NotBlack",271.12
"8229","Northeast","MetropolitanArea",19,18,"NotBlack",1068.38
"8230","Midwest","NotMetropolitanArea",37,12,"NotBlack",308.64
"8231","West","MetropolitanArea",19,12,"NotBlack",697.17
"8232","South","MetropolitanArea",14,8,"NotBlack",261.44
"8233","Northeast","MetropolitanArea",26,12,"NotBlack",451.09
"8234","West","MetropolitanArea",6,14,"NotBlack",688.51
"8235","West","MetropolitanArea",2,12,"NotBlack",493.83
"8236","West","MetropolitanArea",41,18,"NotBlack",1115.86
"8237","Northeast","NotMetropolitanArea",18,13,"NotBlack",740.74
"8238","Northeast","NotMetropolitanArea",3,15,"NotBlack",373.96
"8239","Northeast","MetropolitanArea",50,8,"NotBlack",326.31
"8240","West","NotMetropolitanArea",11,7,"NotBlack",189.93
"8241","West","MetropolitanArea",6,12,"NotBlack",284.9
"8242","West","MetropolitanArea",34,12,"NotBlack",589.03
"8243","South","MetropolitanArea",41,8,"NotBlack",320.99
"8244","Northeast","MetropolitanArea",7,9,"Black",259.26
"8245","Midwest","MetropolitanArea",15,16,"NotBlack",351.38
"8246","West","MetropolitanArea",23,16,"NotBlack",522.32
"8247","Midwest","NotMetropolitanArea",27,12,"NotBlack",284.9
"8248","Northeast","MetropolitanArea",24,12,"NotBlack",830.96
"8249","South","NotMetropolitanArea",10,12,"NotBlack",101.16
"8250","Northeast","MetropolitanArea",28,12,"NotBlack",759.73
"8251","South","MetropolitanArea",3,14,"NotBlack",98.77
"8252","South","NotMetropolitanArea",36,10,"Black",284.9
"8253","West","MetropolitanArea",25,6,"NotBlack",332.38
"8254","Midwest","MetropolitanArea",8,12,"NotBlack",279.84
"8255","Midwest","MetropolitanArea",36,14,"NotBlack",928.3
"8256","Midwest","MetropolitanArea",33,12,"NotBlack",534.19
"8257","Midwest","NotMetropolitanArea",5,14,"NotBlack",415.48
"8258","South","MetropolitanArea",28,18,"NotBlack",1305.79
"8259","Northeast","MetropolitanArea",13,18,"NotBlack",712.25
"8260","Northeast","MetropolitanArea",37,9,"NotBlack",322.89
"8261","South","MetropolitanArea",10,16,"NotBlack",288.07
"8262","West","NotMetropolitanArea",27,14,"NotBlack",949.67
"8263","West","MetropolitanArea",1,16,"NotBlack",427.35
"8264","West","MetropolitanArea",46,14,"NotBlack",807.22
"8265","Northeast","MetropolitanArea",22,12,"NotBlack",652.9
"8266","West","MetropolitanArea",12,18,"NotBlack",2041.79
"8267","West","MetropolitanArea",16,11,"NotBlack",649.81
"8268","South","MetropolitanArea",26,13,"NotBlack",712.25
"8269","South","MetropolitanArea",22,12,"Black",356.13
"8270","South","NotMetropolitanArea",39,5,"NotBlack",593.54
"8271","Northeast","MetropolitanArea",19,12,"Black",937.8
"8272","West","MetropolitanArea",3,12,"NotBlack",189.93
"8273","Northeast","NotMetropolitanArea",15,12,"NotBlack",543.21
"8274","West","NotMetropolitanArea",23,12,"NotBlack",940.17
"8275","West","MetropolitanArea",33,12,"NotBlack",334.36
"8276","Midwest","MetropolitanArea",10,14,"NotBlack",802.47
"8277","West","MetropolitanArea",26,18,"NotBlack",2018.04
"8278","South","MetropolitanArea",2,15,"NotBlack",313.39
"8279","South","MetropolitanArea",54,5,"NotBlack",498.58
"8280","Midwest","MetropolitanArea",40,12,"NotBlack",1139.6
"8281","Midwest","MetropolitanArea",29,12,"NotBlack",830.96
"8282","Northeast","NotMetropolitanArea",14,9,"NotBlack",688.51
"8283","Midwest","NotMetropolitanArea",18,12,"NotBlack",712.25
"8284","Midwest","MetropolitanArea",18,12,"NotBlack",481.96
"8285","West","MetropolitanArea",27,12,"NotBlack",830.96
"8286","Midwest","NotMetropolitanArea",10,12,"NotBlack",353.58
"8287","Midwest","MetropolitanArea",3,12,"NotBlack",249.78
"8288","Midwest","MetropolitanArea",16,18,"NotBlack",925.93
"8289","Midwest","MetropolitanArea",32,11,"Black",664.77
"8290","Midwest","NotMetropolitanArea",33,18,"NotBlack",997.15
"8291","South","MetropolitanArea",37,10,"NotBlack",431.53
"8292","Midwest","MetropolitanArea",28,12,"NotBlack",382.41
"8293","Midwest","MetropolitanArea",29,17,"NotBlack",522.32
"8294","Midwest","NotMetropolitanArea",10,12,"NotBlack",206.87
"8295","Midwest","MetropolitanArea",10,12,"Black",474.83
"8296","Midwest","NotMetropolitanArea",13,12,"NotBlack",669.52
"8297","Northeast","MetropolitanArea",30,12,"NotBlack",546.06
"8298","Northeast","MetropolitanArea",8,13,"NotBlack",664.77
"8299","Midwest","NotMetropolitanArea",8,14,"NotBlack",204.18
"8300","Midwest","NotMetropolitanArea",4,12,"NotBlack",181.07
"8301","Northeast","MetropolitanArea",21,14,"NotBlack",1153.85
"8302","Northeast","MetropolitanArea",25,10,"NotBlack",213.68
"8303","West","MetropolitanArea",38,11,"NotBlack",807.22
"8304","Northeast","MetropolitanArea",13,12,"NotBlack",795.35
"8305","South","MetropolitanArea",19,14,"NotBlack",854.7
"8306","Northeast","MetropolitanArea",14,18,"NotBlack",1424.5
"8307","West","MetropolitanArea",13,16,"NotBlack",1092.12
"8308","Midwest","MetropolitanArea",19,11,"NotBlack",411.32
"8309","South","MetropolitanArea",29,12,"NotBlack",949.67
"8310","South","MetropolitanArea",23,12,"NotBlack",807.22
"8311","West","NotMetropolitanArea",20,14,"NotBlack",712.25
"8312","West","MetropolitanArea",36,14,"NotBlack",10288
"8313","Northeast","MetropolitanArea",9,10,"Black",617.28
"8314","West","NotMetropolitanArea",6,18,"NotBlack",434.47
"8315","South","MetropolitanArea",35,12,"NotBlack",284.9
"8316","Northeast","MetropolitanArea",12,12,"NotBlack",830.96
"8317","Midwest","MetropolitanArea",7,12,"Black",949.67
"8318","Midwest","MetropolitanArea",38,14,"NotBlack",641.03
"8319","Midwest","MetropolitanArea",0,13,"NotBlack",261.16
"8320","Northeast","MetropolitanArea",4,13,"NotBlack",427.35
"8321","West","MetropolitanArea",10,12,"NotBlack",546.06
"8322","South","NotMetropolitanArea",4,12,"NotBlack",159.26
"8323","South","MetropolitanArea",4,12,"NotBlack",284.9
"8324","South","MetropolitanArea",37,8,"NotBlack",664.77
"8325","Northeast","MetropolitanArea",17,18,"NotBlack",1115.86
"8326","South","MetropolitanArea",3,16,"Black",419.75
"8327","Northeast","MetropolitanArea",17,18,"NotBlack",830.96
"8328","South","NotMetropolitanArea",6,14,"NotBlack",396.21
"8329","West","MetropolitanArea",6,12,"NotBlack",209.4
"8330","Northeast","MetropolitanArea",17,17,"NotBlack",266.62
"8331","Midwest","MetropolitanArea",42,12,"NotBlack",1151.01
"8332","South","MetropolitanArea",27,15,"NotBlack",1044.63
"8333","West","MetropolitanArea",3,16,"NotBlack",676.64
"8334","Northeast","MetropolitanArea",12,18,"NotBlack",546.06
"8335","Midwest","MetropolitanArea",2,13,"NotBlack",332.38
"8336","Midwest","NotMetropolitanArea",21,12,"NotBlack",403.61
"8337","Northeast","MetropolitanArea",12,16,"NotBlack",593.54
"8338","Midwest","MetropolitanArea",19,12,"Black",522.32
"8339","Northeast","MetropolitanArea",4,12,"NotBlack",237.42
"8340","South","MetropolitanArea",19,14,"Black",468.28
"8341","West","MetropolitanArea",33,13,"NotBlack",1234.57
"8342","Midwest","NotMetropolitanArea",17,12,"NotBlack",664.77
"8343","South","MetropolitanArea",11,16,"NotBlack",997.15
"8344","West","MetropolitanArea",20,18,"NotBlack",1187.08
"8345","Midwest","NotMetropolitanArea",27,8,"NotBlack",148.15
"8346","Midwest","MetropolitanArea",5,12,"NotBlack",284.9
"8347","West","MetropolitanArea",30,6,"NotBlack",664.77
"8348","Midwest","MetropolitanArea",23,12,"NotBlack",223.17
"8349","Northeast","MetropolitanArea",16,16,"NotBlack",1305.79
"8350","Midwest","NotMetropolitanArea",33,12,"NotBlack",427.35
"8351","Northeast","MetropolitanArea",10,15,"NotBlack",1044.63
"8352","Midwest","MetropolitanArea",32,12,"NotBlack",664.77
"8353","West","MetropolitanArea",8,12,"NotBlack",617.28
"8354","West","MetropolitanArea",27,11,"NotBlack",538.14
"8355","South","NotMetropolitanArea",33,7,"NotBlack",474.83
"8356","West","MetropolitanArea",12,14,"Black",61.73
"8357","Northeast","MetropolitanArea",51,8,"NotBlack",459.72
"8358","Midwest","MetropolitanArea",22,12,"NotBlack",522.32
"8359","South","MetropolitanArea",28,12,"NotBlack",1018.52
"8360","West","MetropolitanArea",10,14,"NotBlack",830.96
"8361","Northeast","MetropolitanArea",7,14,"NotBlack",315.82
"8362","South","MetropolitanArea",19,12,"Black",237.42
"8363","Northeast","MetropolitanArea",22,12,"NotBlack",641.03
"8364","Midwest","NotMetropolitanArea",12,17,"NotBlack",178.38
"8365","Midwest","MetropolitanArea",0,16,"NotBlack",178.7
"8366","West","NotMetropolitanArea",10,12,"NotBlack",529.1
"8367","South","NotMetropolitanArea",3,12,"NotBlack",284.9
"8368","West","MetropolitanArea",2,18,"NotBlack",700.38
"8369","Midwest","MetropolitanArea",25,12,"NotBlack",665.76
"8370","Midwest","NotMetropolitanArea",18,12,"NotBlack",74.79
"8371","South","MetropolitanArea",15,12,"NotBlack",641.03
"8372","Northeast","MetropolitanArea",13,14,"NotBlack",691.36
"8373","Midwest","MetropolitanArea",22,13,"NotBlack",606.91
"8374","West","MetropolitanArea",18,12,"Black",949.67
"8375","Northeast","MetropolitanArea",11,14,"NotBlack",666.67
"8376","Northeast","MetropolitanArea",17,12,"NotBlack",481.48
"8377","West","NotMetropolitanArea",2,12,"NotBlack",474.83
"8378","South","MetropolitanArea",8,14,"NotBlack",244.39
"8379","Midwest","NotMetropolitanArea",5,12,"NotBlack",307.69
"8380","Midwest","NotMetropolitanArea",8,12,"NotBlack",226.34
"8381","West","MetropolitanArea",2,14,"NotBlack",153.09
"8382","South","NotMetropolitanArea",18,15,"NotBlack",813.69
"8383","South","NotMetropolitanArea",33,18,"Black",1068.38
"8384","Midwest","MetropolitanArea",11,15,"NotBlack",962.96
"8385","South","MetropolitanArea",23,16,"NotBlack",844.02
"8386","Midwest","MetropolitanArea",38,12,"NotBlack",696.42
"8387","South","NotMetropolitanArea",11,12,"NotBlack",641.03
"8388","South","NotMetropolitanArea",1,14,"NotBlack",161.75
"8389","West","MetropolitanArea",40,12,"NotBlack",617.28
"8390","West","MetropolitanArea",15,12,"NotBlack",735.99
"8391","Northeast","MetropolitanArea",20,12,"Black",522.32
"8392","Northeast","MetropolitanArea",30,12,"NotBlack",477.21
"8393","South","MetropolitanArea",10,12,"Black",237.42
"8394","Midwest","NotMetropolitanArea",10,13,"NotBlack",493.83
"8395","South","MetropolitanArea",25,16,"NotBlack",820.75
"8396","West","MetropolitanArea",29,3,"NotBlack",257.08
"8397","Midwest","MetropolitanArea",5,13,"NotBlack",546.06
"8398","South","NotMetropolitanArea",13,12,"Black",617.28
"8399","West","MetropolitanArea",0,12,"NotBlack",360.08
"8400","South","MetropolitanArea",31,8,"NotBlack",1563.79
"8401","Midwest","MetropolitanArea",29,17,"NotBlack",866.57
"8402","Midwest","NotMetropolitanArea",42,12,"NotBlack",194.68
"8403","West","NotMetropolitanArea",7,11,"NotBlack",337.13
"8404","Midwest","MetropolitanArea",18,12,"NotBlack",296.77
"8405","South","MetropolitanArea",12,16,"NotBlack",1020.89
"8406","South","MetropolitanArea",18,12,"NotBlack",688.51
"8407","South","NotMetropolitanArea",3,12,"NotBlack",237.42
"8408","South","MetropolitanArea",12,16,"NotBlack",1344.78
"8409","South","NotMetropolitanArea",11,9,"NotBlack",282.92
"8410","Northeast","NotMetropolitanArea",11,12,"NotBlack",427.35
"8411","South","MetropolitanArea",31,13,"NotBlack",902.18
"8412","South","MetropolitanArea",32,12,"NotBlack",593.54
"8413","Midwest","MetropolitanArea",11,14,"Black",712.25
"8414","Midwest","MetropolitanArea",18,12,"NotBlack",830.96
"8415","South","NotMetropolitanArea",25,14,"NotBlack",830.96
"8416","Northeast","MetropolitanArea",39,12,"NotBlack",735.99
"8417","Northeast","MetropolitanArea",7,11,"NotBlack",307.43
"8418","South","MetropolitanArea",29,13,"NotBlack",1210.83
"8419","West","MetropolitanArea",5,12,"NotBlack",514.4
"8420","Midwest","MetropolitanArea",11,7,"NotBlack",130.58
"8421","Northeast","NotMetropolitanArea",44,10,"NotBlack",440.95
"8422","Northeast","MetropolitanArea",41,8,"NotBlack",679.01
"8423","Northeast","MetropolitanArea",54,6,"NotBlack",1424.5
"8424","South","MetropolitanArea",35,12,"NotBlack",498.58
"8425","South","NotMetropolitanArea",15,13,"NotBlack",961.54
"8426","West","MetropolitanArea",6,13,"NotBlack",349.79
"8427","South","MetropolitanArea",2,12,"Black",209.19
"8428","Northeast","MetropolitanArea",49,12,"NotBlack",830.96
"8429","Northeast","MetropolitanArea",5,16,"NotBlack",593.54
"8430","South","NotMetropolitanArea",33,6,"NotBlack",142.45
"8431","West","MetropolitanArea",12,15,"NotBlack",759.73
"8432","South","MetropolitanArea",15,9,"NotBlack",474.83
"8433","South","MetropolitanArea",11,12,"NotBlack",261.16
"8434","Northeast","MetropolitanArea",5,16,"NotBlack",641.03
"8435","South","MetropolitanArea",0,13,"NotBlack",183.18
"8436","West","NotMetropolitanArea",16,17,"NotBlack",543.21
"8437","Midwest","MetropolitanArea",45,12,"NotBlack",949.67
"8438","Midwest","MetropolitanArea",40,12,"NotBlack",783.48
"8439","South","MetropolitanArea",20,18,"NotBlack",1377.02
"8440","South","NotMetropolitanArea",14,12,"NotBlack",569.8
"8441","West","MetropolitanArea",39,12,"NotBlack",712.25
"8442","South","NotMetropolitanArea",33,12,"NotBlack",537.75
"8443","South","MetropolitanArea",32,9,"NotBlack",474.83
"8444","South","MetropolitanArea",33,16,"NotBlack",854.7
"8445","Midwest","MetropolitanArea",32,12,"NotBlack",830.96
"8446","West","MetropolitanArea",36,18,"NotBlack",1353.28
"8447","West","MetropolitanArea",9,16,"NotBlack",901
"8448","Midwest","MetropolitanArea",24,9,"NotBlack",427.35
"8449","West","MetropolitanArea",24,12,"NotBlack",949.67
"8450","Midwest","MetropolitanArea",5,12,"NotBlack",235.42
"8451","Midwest","NotMetropolitanArea",17,12,"NotBlack",807.22
"8452","West","MetropolitanArea",13,16,"NotBlack",316.56
"8453","South","MetropolitanArea",14,12,"NotBlack",679.01
"8454","Midwest","MetropolitanArea",23,12,"NotBlack",546.06
"8455","Northeast","NotMetropolitanArea",18,13,"NotBlack",747.86
"8456","Midwest","MetropolitanArea",37,12,"NotBlack",664.77
"8457","Midwest","MetropolitanArea",13,12,"NotBlack",593.54
"8458","South","MetropolitanArea",2,18,"NotBlack",261.16
"8459","South","MetropolitanArea",10,12,"NotBlack",293.21
"8460","South","MetropolitanArea",12,13,"NotBlack",474.83
"8461","West","MetropolitanArea",32,17,"NotBlack",997.15
"8462","South","MetropolitanArea",25,12,"NotBlack",740.74
"8463","South","MetropolitanArea",12,12,"NotBlack",830.96
"8464","West","NotMetropolitanArea",10,14,"NotBlack",690.88
"8465","West","MetropolitanArea",16,13,"NotBlack",593.54
"8466","West","MetropolitanArea",32,13,"NotBlack",688.51
"8467","West","MetropolitanArea",37,12,"NotBlack",1899.34
"8468","South","MetropolitanArea",6,12,"NotBlack",543.21
"8469","Midwest","NotMetropolitanArea",24,12,"NotBlack",1122.33
"8470","South","MetropolitanArea",4,16,"NotBlack",641.03
"8471","West","MetropolitanArea",25,14,"NotBlack",830.96
"8472","Northeast","MetropolitanArea",13,12,"NotBlack",712.25
"8473","South","NotMetropolitanArea",25,12,"NotBlack",712.25
"8474","Midwest","MetropolitanArea",38,8,"NotBlack",593.54
"8475","West","MetropolitanArea",5,16,"NotBlack",293.83
"8476","South","NotMetropolitanArea",4,12,"NotBlack",336.75
"8477","South","MetropolitanArea",25,18,"NotBlack",1187.08
"8478","Midwest","MetropolitanArea",42,12,"NotBlack",1291.99
"8479","Midwest","MetropolitanArea",24,12,"NotBlack",451.09
"8480","Northeast","MetropolitanArea",8,13,"NotBlack",569.8
"8481","Northeast","NotMetropolitanArea",2,12,"NotBlack",308.64
"8482","West","NotMetropolitanArea",15,15,"NotBlack",854.7
