"","Region","MetropolitanStatus","Age","EducationCategory","EducationCode","Race","WeeklyEarnings"
"1231","Midwest","Metropolitan",35,"HighSchoolDiploma",39,"White",510
"1232","Midwest","Metropolitan",51,"HighSchoolDiploma",39,"White",760
"1233","Northeast","Metropolitan",45,"SomeCollegeButNoDegree",40,"White",2203.2
"1234","Midwest","Metropolitan",49,"HighSchoolDiploma",39,"White",1442.3
"1235","Midwest","Metropolitan",41,"BachelorsDegree",43,"White",1476.92
"1236","Northeast","Metropolitan",37,"HighSchoolDiploma",39,"White",1552.4
"1237","Midwest","Metropolitan",40,"HighSchoolDiploma",39,"White",536.8
"1238","South","Not Metropolitan",30,"HighSchoolDiploma",39,"Black",305.55
"1239","South","Metropolitan",28,"HighSchoolDiploma",39,"White",300
"1240","South","Metropolitan",44,"BachelorsDegree",43,"White",423.07
"1241","Northeast","Not Metropolitan",34,"HighSchoolDiploma",39,"White",1013.1
"1242","Midwest","Metropolitan",42,"NinthGrade",35,"White",660
"1243","South","Metropolitan",80,"BachelorsDegree",43,"White",550
"1244","Midwest","Metropolitan",62,"HighSchoolDiploma",39,"White",192.3
"1245","Midwest","Metropolitan",44,"BachelorsDegree",43,"White",1019.23
"1246","South","Metropolitan",32,"SomeCollegeButNoDegree",40,"White",400
"1247","West","Metropolitan",42,"HighSchoolDiploma",39,"White",1500
"1248","West","Metropolitan",27,"AssocDegOccupVocat",41,"White",1346.15
"1249","South","Metropolitan",22,"SomeCollegeButNoDegree",40,"Black",360
"1250","Midwest","Metropolitan",33,"MastersDegree",44,"Black",480.76
"1251","Northeast","Metropolitan",52,"SomeCollegeButNoDegree",40,"White",2884.61
"1252","South","Metropolitan",55,"SomeCollegeButNoDegree",40,"White",1000
"1253","West","Metropolitan",24,"HighSchoolDiploma",39,"Black",1150
"1254","Midwest","Metropolitan",43,"BachelorsDegree",43,"White",875
"1255","Midwest","Metropolitan",34,"SomeCollegeButNoDegree",40,"White",1225
"1256","South","Metropolitan",63,"MastersDegree",44,"White",1615.38
"1257","Northeast","Metropolitan",46,"BachelorsDegree",43,"White",2884.61
"1258","Northeast","Metropolitan",23,"HighSchoolDiploma",39,"White",1600
"1259","South","Metropolitan",27,"BachelorsDegree",43,"White",769.23
"1260","South","Metropolitan",49,"AssocDegOccupVocat",41,"Black",1200
"1261","South","Metropolitan",57,"AssocDegOccupVocat",41,"White",700
"1262","West","Metropolitan",29,"MastersDegree",44,"White",615.38
"1263","Midwest","Metropolitan",27,"HighSchoolDiploma",39,"White",460
"1264","West","Metropolitan",33,"AssocDegAcadem",42,"White",1154
"1265","South","Metropolitan",35,"MastersDegree",44,"White",1730.76
"1266","Northeast","Not Metropolitan",18,"HighSchoolDiploma",39,"White",593.2
"1267","Northeast","Metropolitan",32,"AssocDegAcadem",42,"Black",415
"1268","West","Metropolitan",45,"SomeCollegeButNoDegree",40,"Black",730.76
"1269","West","Metropolitan",53,"AssocDegAcadem",42,"White",1100
"1270","South","Not Metropolitan",25,"EleventhGrade",37,"White",401.1
"1271","Midwest","Metropolitan",42,"BachelorsDegree",43,"White",560
"1272","Northeast","Not Metropolitan",24,"SomeCollegeButNoDegree",40,"White",680
"1273","South","Metropolitan",59,"SomeCollegeButNoDegree",40,"White",350
"1274","Northeast","Metropolitan",55,"AssocDegAcadem",42,"Black",1000
"1275","South","Metropolitan",40,"AssocDegOccupVocat",41,"White",484.61
"1276","West","Not Metropolitan",53,"HighSchoolDiploma",39,"White",2884.61
"1277","Northeast","Metropolitan",24,"SomeCollegeButNoDegree",40,"White",738
"1278","South","Metropolitan",30,"HighSchoolDiploma",39,"White",1096
"1279","West","Metropolitan",32,"SomeCollegeButNoDegree",40,"White",923.07
"1280","South","Not Metropolitan",49,"TwelthButNoDiploma",38,"White",720
"1281","Midwest","Metropolitan",39,"TwelthButNoDiploma",38,"White",575
"1282","Northeast","Not Metropolitan",24,"AssocDegOccupVocat",41,"White",704
"1283","Northeast","Metropolitan",37,"SomeCollegeButNoDegree",40,"White",636.8
"1284","South","Metropolitan",62,"DoctorateDegree",46,"White",738.46
"1285","Midwest","Metropolitan",39,"HighSchoolDiploma",39,"White",600
"1286","South","Metropolitan",54,"SomeCollegeButNoDegree",40,"White",900
"1287","South","Not Metropolitan",40,"BachelorsDegree",43,"White",760
"1288","Northeast","Metropolitan",39,"BachelorsDegree",43,"White",1923
"1289","Midwest","Metropolitan",54,"HighSchoolDiploma",39,"White",1335
"1290","Northeast","Metropolitan",29,"SomeCollegeButNoDegree",40,"Black",600
"1291","West","Metropolitan",54,"BachelorsDegree",43,"White",2019.23
"1292","Midwest","Not Metropolitan",32,"HighSchoolDiploma",39,"White",738.4
"1293","South","Metropolitan",51,"BachelorsDegree",43,"White",2500
"1294","Midwest","Not Metropolitan",39,"BachelorsDegree",43,"White",1346.15
"1295","South","Metropolitan",41,"BachelorsDegree",43,"White",1634.61
"1296","South","Metropolitan",54,"SomeCollegeButNoDegree",40,"White",1100
"1297","Midwest","Metropolitan",57,"BachelorsDegree",43,"White",1961
"1298","South","Metropolitan",45,"AssocDegOccupVocat",41,"White",673
"1299","Northeast","Not Metropolitan",22,"SomeCollegeButNoDegree",40,"White",253
"1300","South","Metropolitan",51,"MastersDegree",44,"White",1192.3
"1301","Midwest","Metropolitan",55,"HighSchoolDiploma",39,"White",680
"1302","West","Metropolitan",69,"DoctorateDegree",46,"White",2884.61
"1303","Midwest","Metropolitan",41,"SomeCollegeButNoDegree",40,"White",1038.46
"1304","West","Metropolitan",42,"AssocDegOccupVocat",41,"White",276
"1305","Midwest","Metropolitan",38,"HighSchoolDiploma",39,"White",346
"1306","South","Metropolitan",44,"HighSchoolDiploma",39,"Black",440
"1307","Northeast","Metropolitan",55,"ProfSchoolDegree",45,"White",1923.07
"1308","West","Metropolitan",34,"HighSchoolDiploma",39,"White",1192.3
"1309","South","Metropolitan",34,"AssocDegAcadem",42,"White",400
"1310","West","Not Metropolitan",53,"AssocDegOccupVocat",41,"White",600
"1311","West","Metropolitan",19,"HighSchoolDiploma",39,"White",392.3
"1312","Northeast","Metropolitan",50,"BachelorsDegree",43,"White",1711.53
"1313","South","Metropolitan",56,"HighSchoolDiploma",39,"Black",830
"1314","Northeast","Metropolitan",38,"AssocDegAcadem",42,"White",673.07
"1315","Northeast","Metropolitan",60,"ProfSchoolDegree",45,"White",1730.76
"1316","West","Metropolitan",26,"HighSchoolDiploma",39,"White",402.5
"1317","Northeast","Not Metropolitan",33,"SomeCollegeButNoDegree",40,"White",750
"1318","West","Metropolitan",50,"MastersDegree",44,"White",2884.61
"1319","Midwest","Metropolitan",54,"BachelorsDegree",43,"White",1346
"1320","Midwest","Metropolitan",56,"BachelorsDegree",43,"White",1250
"1321","West","Metropolitan",28,"SomeCollegeButNoDegree",40,"White",468
"1322","South","Not Metropolitan",76,"EleventhGrade",37,"Black",1123
"1323","Midwest","Metropolitan",57,"MastersDegree",44,"White",1961
"1324","South","Metropolitan",53,"HighSchoolDiploma",39,"White",961
"1325","Northeast","Metropolitan",54,"HighSchoolDiploma",39,"Black",1038
"1326","South","Metropolitan",24,"SomeCollegeButNoDegree",40,"White",442
"1327","West","Metropolitan",26,"BachelorsDegree",43,"White",1080
"1328","Midwest","Metropolitan",25,"BachelorsDegree",43,"White",230
"1329","West","Metropolitan",50,"AssocDegOccupVocat",41,"White",1539.2
"1330","West","Metropolitan",36,"MastersDegree",44,"White",1615
"1331","West","Metropolitan",48,"HighSchoolDiploma",39,"White",600
"1332","Midwest","Not Metropolitan",33,"HighSchoolDiploma",39,"White",760
"1333","Midwest","Metropolitan",53,"HighSchoolDiploma",39,"Black",560
"1334","Northeast","Not Metropolitan",42,"MastersDegree",44,"White",1442.3
"1335","Midwest","Not Metropolitan",58,"MastersDegree",44,"White",1961
"1336","Midwest","Metropolitan",55,"MastersDegree",44,"White",1365
"1337","West","Metropolitan",43,"HighSchoolDiploma",39,"White",600
"1338","Midwest","Metropolitan",25,"HighSchoolDiploma",39,"Black",520
"1339","South","Metropolitan",20,"HighSchoolDiploma",39,"White",440
"1340","Midwest","Metropolitan",26,"SomeCollegeButNoDegree",40,"White",692
"1341","South","Metropolitan",46,"SomeCollegeButNoDegree",40,"White",1880
"1342","Midwest","Not Metropolitan",62,"BachelorsDegree",43,"White",1307.69
"1343","South","Metropolitan",37,"NinthGrade",35,"White",290
"1344","Northeast","Metropolitan",41,"HighSchoolDiploma",39,"White",1730.76
"1345","West","Not Metropolitan",58,"BachelorsDegree",43,"White",415.38
"1346","South","Not Metropolitan",41,"SeventhOrEighthGrade",34,"White",750
"1347","Northeast","Not Metropolitan",34,"HighSchoolDiploma",39,"White",826
"1348","Midwest","Metropolitan",27,"BachelorsDegree",43,"White",980.76
"1349","Midwest","Not Metropolitan",27,"SomeCollegeButNoDegree",40,"White",520
"1350","West","Metropolitan",51,"HighSchoolDiploma",39,"White",940
"1351","South","Not Metropolitan",56,"BachelorsDegree",43,"White",1884.61
"1352","South","Not Metropolitan",33,"MastersDegree",44,"White",1250
"1353","Midwest","Metropolitan",42,"BachelorsDegree",43,"White",580
"1354","West","Metropolitan",32,"TenthGrade",36,"White",550
"1355","Midwest","Not Metropolitan",44,"HighSchoolDiploma",39,"White",903
"1356","West","Metropolitan",37,"ProfSchoolDegree",45,"White",2500
"1357","South","Metropolitan",33,"AssocDegAcadem",42,"White",520
"1358","West","Metropolitan",50,"DoctorateDegree",46,"White",2423.07
"1359","West","Metropolitan",22,"HighSchoolDiploma",39,"White",530
"1360","South","Not Identified",29,"HighSchoolDiploma",39,"White",1346.15
"1361","West","Metropolitan",20,"TenthGrade",36,"White",600
"1362","South","Metropolitan",52,"SomeCollegeButNoDegree",40,"White",807
"1363","South","Metropolitan",40,"BachelorsDegree",43,"White",480
"1364","Midwest","Metropolitan",53,"BachelorsDegree",43,"Black",1442
"1365","Midwest","Not Metropolitan",40,"MastersDegree",44,"White",2307.69
"1366","West","Metropolitan",25,"HighSchoolDiploma",39,"White",730
"1367","South","Metropolitan",38,"NinthGrade",35,"White",600
"1368","West","Not Metropolitan",34,"SomeCollegeButNoDegree",40,"White",181.25
"1369","South","Metropolitan",29,"BachelorsDegree",43,"White",807.69
"1370","South","Metropolitan",20,"HighSchoolDiploma",39,"White",400
"1371","South","Metropolitan",41,"AssocDegAcadem",42,"White",1170
"1372","Northeast","Metropolitan",45,"SomeCollegeButNoDegree",40,"White",880
"1373","Midwest","Not Metropolitan",38,"HighSchoolDiploma",39,"White",1346
"1374","Midwest","Metropolitan",60,"MastersDegree",44,"White",1557
"1375","Midwest","Metropolitan",34,"BachelorsDegree",43,"White",730
"1376","Northeast","Not Metropolitan",55,"HighSchoolDiploma",39,"White",950
"1377","Midwest","Metropolitan",49,"HighSchoolDiploma",39,"White",706.8
"1378","West","Metropolitan",39,"HighSchoolDiploma",39,"White",900
"1379","South","Metropolitan",37,"HighSchoolDiploma",39,"White",600
"1380","South","Metropolitan",39,"BachelorsDegree",43,"White",1346.15
"1381","Northeast","Not Metropolitan",27,"HighSchoolDiploma",39,"White",923.07
"1382","South","Metropolitan",61,"HighSchoolDiploma",39,"White",673
"1383","South","Metropolitan",64,"DoctorateDegree",46,"White",2423.07
"1384","West","Metropolitan",48,"BachelorsDegree",43,"White",1923.07
"1385","Northeast","Metropolitan",50,"HighSchoolDiploma",39,"White",380
"1386","West","Metropolitan",33,"HighSchoolDiploma",39,"White",520
"1387","Midwest","Not Metropolitan",41,"BachelorsDegree",43,"White",2884.61
"1388","Northeast","Metropolitan",62,"HighSchoolDiploma",39,"White",1346.15
"1389","South","Metropolitan",36,"MastersDegree",44,"White",1307.69
"1390","South","Metropolitan",50,"BachelorsDegree",43,"White",1384.61
"1391","Midwest","Not Metropolitan",56,"HighSchoolDiploma",39,"White",369.56
"1392","Northeast","Not Metropolitan",35,"SomeCollegeButNoDegree",40,"White",720
"1393","West","Metropolitan",23,"SomeCollegeButNoDegree",40,"White",519.23
"1394","South","Metropolitan",56,"SomeCollegeButNoDegree",40,"White",1000
"1395","South","Metropolitan",29,"HighSchoolDiploma",39,"White",758
"1396","Midwest","Metropolitan",30,"BachelorsDegree",43,"White",2500
"1397","South","Metropolitan",39,"BachelorsDegree",43,"White",1500
"1398","West","Not Metropolitan",26,"AssocDegOccupVocat",41,"White",736
"1399","West","Metropolitan",46,"SomeCollegeButNoDegree",40,"White",1250
"1400","Northeast","Metropolitan",39,"AssocDegAcadem",42,"White",1192.3
"1401","West","Metropolitan",46,"MastersDegree",44,"White",1115.38
"1402","Midwest","Metropolitan",57,"HighSchoolDiploma",39,"White",800
"1403","Midwest","Metropolitan",38,"HighSchoolDiploma",39,"Black",840
"1404","South","Metropolitan",52,"BachelorsDegree",43,"White",1053.2
"1405","Midwest","Not Metropolitan",26,"HighSchoolDiploma",39,"White",400
"1406","West","Metropolitan",20,"HighSchoolDiploma",39,"White",288.75
"1407","South","Metropolitan",45,"EleventhGrade",37,"White",560
"1408","Midwest","Not Metropolitan",53,"HighSchoolDiploma",39,"White",700
"1409","West","Metropolitan",37,"SomeCollegeButNoDegree",40,"White",1204
"1410","Midwest","Metropolitan",57,"SomeCollegeButNoDegree",40,"White",1057.69
"1411","West","Metropolitan",47,"BachelorsDegree",43,"White",475
"1412","South","Metropolitan",48,"BachelorsDegree",43,"White",2884.61
"1413","Midwest","Metropolitan",61,"BachelorsDegree",43,"White",1846.15
"1414","Midwest","Metropolitan",59,"HighSchoolDiploma",39,"White",192
"1415","Midwest","Metropolitan",37,"BachelorsDegree",43,"White",1211.53
"1416","West","Not Metropolitan",39,"TwelthButNoDiploma",38,"White",1040
"1417","Midwest","Metropolitan",41,"SomeCollegeButNoDegree",40,"White",653
"1418","Midwest","Metropolitan",45,"MastersDegree",44,"White",1250
"1419","Northeast","Metropolitan",55,"BachelorsDegree",43,"Black",1200
"1420","West","Metropolitan",45,"BachelorsDegree",43,"White",1961.53
"1421","South","Metropolitan",40,"SomeCollegeButNoDegree",40,"White",900
"1422","West","Metropolitan",40,"BachelorsDegree",43,"White",807.69
"1423","Midwest","Not Metropolitan",48,"MastersDegree",44,"White",1634.61
"1424","West","Metropolitan",37,"SomeCollegeButNoDegree",40,"White",2200
"1425","West","Metropolitan",50,"HighSchoolDiploma",39,"White",1923.07
"1426","Midwest","Metropolitan",56,"BachelorsDegree",43,"Black",1538
"1427","South","Not Metropolitan",44,"HighSchoolDiploma",39,"White",520
"1428","West","Metropolitan",38,"HighSchoolDiploma",39,"White",192.3
"1429","South","Metropolitan",46,"BachelorsDegree",43,"White",2884.61
"1430","West","Not Metropolitan",61,"HighSchoolDiploma",39,"White",840
"1431","South","Metropolitan",30,"AssocDegAcadem",42,"White",1230.76
"1432","South","Metropolitan",29,"HighSchoolDiploma",39,"White",680
"1433","Midwest","Metropolitan",53,"SomeCollegeButNoDegree",40,"White",1153
"1434","Midwest","Metropolitan",43,"HighSchoolDiploma",39,"White",739.8
"1435","West","Metropolitan",41,"AssocDegAcadem",42,"White",1346.15
"1436","South","Metropolitan",33,"SomeCollegeButNoDegree",40,"White",826
"1437","Northeast","Metropolitan",56,"MastersDegree",44,"White",2884.61
"1438","South","Metropolitan",20,"SeventhOrEighthGrade",34,"White",400
"1439","Midwest","Metropolitan",50,"AssocDegOccupVocat",41,"White",1212
"1440","South","Metropolitan",56,"HighSchoolDiploma",39,"White",961
"1441","Midwest","Not Metropolitan",31,"HighSchoolDiploma",39,"White",385
"1442","Northeast","Metropolitan",46,"MastersDegree",44,"White",2788.46
"1443","West","Metropolitan",49,"BachelorsDegree",43,"White",1053
"1444","Northeast","Metropolitan",58,"SomeCollegeButNoDegree",40,"White",600
"1445","Northeast","Metropolitan",30,"BachelorsDegree",43,"White",961.53
"1446","Midwest","Metropolitan",43,"HighSchoolDiploma",39,"Black",840
"1447","South","Metropolitan",25,"EleventhGrade",37,"Black",600
"1448","Northeast","Metropolitan",41,"MastersDegree",44,"White",1053.2
"1449","West","Metropolitan",28,"SomeCollegeButNoDegree",40,"White",600
"1450","Midwest","Metropolitan",53,"MastersDegree",44,"White",1442.3
"1451","Midwest","Not Metropolitan",55,"FirstSecondThirdOrFourthGrade",32,"White",380
"1452","Northeast","Metropolitan",48,"HighSchoolDiploma",39,"Black",1153
"1453","West","Metropolitan",53,"SomeCollegeButNoDegree",40,"White",1015.38
"1454","Northeast","Metropolitan",59,"NinthGrade",35,"White",900
"1455","Northeast","Not Metropolitan",58,"SomeCollegeButNoDegree",40,"White",1692.3
"1456","South","Not Metropolitan",61,"BachelorsDegree",43,"White",903
"1457","South","Not Metropolitan",23,"EleventhGrade",37,"Black",185
"1458","West","Metropolitan",51,"HighSchoolDiploma",39,"White",673.07
"1459","West","Metropolitan",55,"EleventhGrade",37,"White",300
"1460","West","Metropolitan",61,"DoctorateDegree",46,"White",830.76
"1461","West","Metropolitan",51,"SomeCollegeButNoDegree",40,"White",290
"1462","West","Metropolitan",57,"HighSchoolDiploma",39,"White",1153.84
"1463","West","Metropolitan",49,"HighSchoolDiploma",39,"White",400
"1464","South","Metropolitan",25,"HighSchoolDiploma",39,"White",350
"1465","Northeast","Metropolitan",38,"AssocDegOccupVocat",41,"White",461.53
"1466","Midwest","Not Metropolitan",64,"SomeCollegeButNoDegree",40,"White",1080
"1467","Northeast","Metropolitan",51,"SomeCollegeButNoDegree",40,"White",461
"1468","Northeast","Metropolitan",50,"BachelorsDegree",43,"Black",1538.46
"1469","Northeast","Metropolitan",58,"MastersDegree",44,"White",1461.53
"1470","West","Not Metropolitan",30,"SomeCollegeButNoDegree",40,"White",1010
"1471","Northeast","Metropolitan",51,"MastersDegree",44,"White",1500
"1472","West","Metropolitan",53,"SomeCollegeButNoDegree",40,"White",720
"1473","South","Metropolitan",41,"EleventhGrade",37,"White",400
"1474","South","Metropolitan",20,"TwelthButNoDiploma",38,"White",450
"1475","Northeast","Metropolitan",45,"BachelorsDegree",43,"White",2120
"1476","Midwest","Metropolitan",49,"DoctorateDegree",46,"Black",1015
"1477","Midwest","Metropolitan",48,"BachelorsDegree",43,"White",2884.61
"1478","West","Metropolitan",20,"AssocDegOccupVocat",41,"Black",576.92
"1479","Northeast","Metropolitan",43,"BachelorsDegree",43,"White",1153.84
"1480","Northeast","Metropolitan",48,"HighSchoolDiploma",39,"White",671.6
"1481","Midwest","Metropolitan",66,"BachelorsDegree",43,"White",472
"1482","West","Not Metropolitan",24,"HighSchoolDiploma",39,"White",400
"1483","West","Not Identified",58,"ProfSchoolDegree",45,"White",961.53
"1484","South","Not Metropolitan",57,"AssocDegAcadem",42,"White",700
"1485","Northeast","Metropolitan",42,"HighSchoolDiploma",39,"White",1442.3
"1486","South","Metropolitan",41,"AssocDegAcadem",42,"White",1923.07
"1487","West","Metropolitan",68,"HighSchoolDiploma",39,"White",698
"1488","South","Not Metropolitan",51,"BachelorsDegree",43,"White",1153.84
"1489","West","Metropolitan",59,"MastersDegree",44,"White",961.53
"1490","West","Metropolitan",48,"BachelorsDegree",43,"White",2692.3
"1491","South","Metropolitan",54,"SomeCollegeButNoDegree",40,"White",800
"1492","South","Not Metropolitan",32,"HighSchoolDiploma",39,"White",557.69
"1493","Midwest","Metropolitan",57,"HighSchoolDiploma",39,"White",732
"1494","Northeast","Metropolitan",25,"HighSchoolDiploma",39,"White",1371
"1495","Northeast","Not Metropolitan",65,"MastersDegree",44,"White",1060
"1496","West","Not Identified",49,"HighSchoolDiploma",39,"White",987.5
"1497","South","Metropolitan",41,"HighSchoolDiploma",39,"White",1384.61
"1498","West","Metropolitan",39,"SomeCollegeButNoDegree",40,"White",1000
"1499","South","Not Metropolitan",45,"EleventhGrade",37,"White",730
"1500","Northeast","Not Metropolitan",25,"SomeCollegeButNoDegree",40,"White",400
"1501","West","Metropolitan",45,"HighSchoolDiploma",39,"White",395
"1502","West","Metropolitan",46,"DoctorateDegree",46,"White",997.5
"1503","Midwest","Metropolitan",35,"BachelorsDegree",43,"White",1000
"1504","West","Metropolitan",46,"AssocDegAcadem",42,"White",2884.61
"1505","Northeast","Metropolitan",51,"SomeCollegeButNoDegree",40,"White",400
"1506","Northeast","Metropolitan",64,"HighSchoolDiploma",39,"White",600
"1507","Northeast","Metropolitan",42,"HighSchoolDiploma",39,"Black",519
"1508","Midwest","Metropolitan",41,"ProfSchoolDegree",45,"White",1192.3
"1509","Northeast","Not Metropolitan",36,"AssocDegOccupVocat",41,"White",2884.61
"1510","Midwest","Metropolitan",47,"AssocDegOccupVocat",41,"White",1153.84
"1511","Northeast","Metropolitan",24,"BachelorsDegree",43,"White",225
"1512","Midwest","Metropolitan",50,"BachelorsDegree",43,"White",2307.69
"1513","Northeast","Metropolitan",37,"AssocDegOccupVocat",41,"White",700
"1514","South","Not Metropolitan",38,"HighSchoolDiploma",39,"Black",840
"1515","West","Not Metropolitan",42,"MastersDegree",44,"White",961.53
"1516","South","Metropolitan",49,"ProfSchoolDegree",45,"White",1738
"1517","West","Metropolitan",24,"HighSchoolDiploma",39,"White",400
"1518","South","Metropolitan",28,"SomeCollegeButNoDegree",40,"White",440
"1519","West","Not Metropolitan",54,"HighSchoolDiploma",39,"White",1000
"1520","Northeast","Metropolitan",58,"BachelorsDegree",43,"White",2692.3
"1521","South","Metropolitan",39,"HighSchoolDiploma",39,"White",500
"1522","West","Metropolitan",50,"BachelorsDegree",43,"White",2884.61
"1523","Midwest","Not Metropolitan",25,"HighSchoolDiploma",39,"White",660
"1524","Northeast","Metropolitan",54,"MastersDegree",44,"White",2115.38
"1525","Midwest","Not Metropolitan",31,"SomeCollegeButNoDegree",40,"White",538.46
"1526","South","Metropolitan",36,"AssocDegAcadem",42,"White",1096.15
"1527","South","Not Metropolitan",39,"BachelorsDegree",43,"White",1153.84
"1528","South","Metropolitan",42,"BachelorsDegree",43,"White",1038.46
"1529","Midwest","Metropolitan",38,"HighSchoolDiploma",39,"Black",400
"1530","South","Metropolitan",33,"SeventhOrEighthGrade",34,"White",500
"1531","West","Metropolitan",43,"AssocDegAcadem",42,"White",2259.98
"1532","South","Metropolitan",36,"HighSchoolDiploma",39,"White",961
"1533","West","Metropolitan",58,"MastersDegree",44,"White",2200
"1534","Midwest","Metropolitan",28,"SomeCollegeButNoDegree",40,"White",2500
"1535","South","Metropolitan",39,"SomeCollegeButNoDegree",40,"White",807.69
"1536","Midwest","Not Metropolitan",22,"HighSchoolDiploma",39,"White",384
"1537","South","Metropolitan",33,"BachelorsDegree",43,"White",600
"1538","Midwest","Metropolitan",26,"HighSchoolDiploma",39,"White",1038.46
"1539","Northeast","Metropolitan",49,"HighSchoolDiploma",39,"White",1000
"1540","Midwest","Not Metropolitan",25,"HighSchoolDiploma",39,"White",358
"1541","Northeast","Metropolitan",46,"BachelorsDegree",43,"White",1040
"1542","Northeast","Not Metropolitan",46,"HighSchoolDiploma",39,"White",1442
"1543","Northeast","Metropolitan",41,"BachelorsDegree",43,"White",807.69
"1544","South","Metropolitan",24,"SomeCollegeButNoDegree",40,"White",320
"1545","South","Metropolitan",31,"EleventhGrade",37,"White",400
"1546","South","Metropolitan",42,"SomeCollegeButNoDegree",40,"Black",1384
"1547","West","Metropolitan",25,"HighSchoolDiploma",39,"White",615
"1548","Midwest","Not Metropolitan",49,"MastersDegree",44,"White",923.07
"1549","Midwest","Not Metropolitan",42,"SomeCollegeButNoDegree",40,"White",1038.46
"1550","South","Not Metropolitan",39,"HighSchoolDiploma",39,"White",967.6
"1551","West","Not Metropolitan",46,"HighSchoolDiploma",39,"White",850
"1552","South","Metropolitan",35,"SomeCollegeButNoDegree",40,"White",576.92
"1553","Midwest","Metropolitan",52,"BachelorsDegree",43,"White",2884.61
"1554","West","Metropolitan",39,"HighSchoolDiploma",39,"White",825
"1555","Northeast","Metropolitan",17,"EleventhGrade",37,"White",285
"1556","Midwest","Not Metropolitan",39,"HighSchoolDiploma",39,"White",384.61
"1557","West","Metropolitan",34,"SomeCollegeButNoDegree",40,"White",2144
"1558","West","Metropolitan",21,"SomeCollegeButNoDegree",40,"White",400
"1559","Midwest","Not Metropolitan",35,"HighSchoolDiploma",39,"White",315
"1560","Northeast","Metropolitan",26,"AssocDegAcadem",42,"White",961
"1561","Midwest","Metropolitan",60,"ProfSchoolDegree",45,"White",2884.61
"1562","South","Not Metropolitan",34,"HighSchoolDiploma",39,"White",900
"1563","Midwest","Metropolitan",44,"MastersDegree",44,"White",1942
"1564","Northeast","Not Metropolitan",58,"SomeCollegeButNoDegree",40,"White",1000
"1565","South","Metropolitan",46,"TenthGrade",36,"White",1128.8
"1566","Midwest","Not Metropolitan",37,"HighSchoolDiploma",39,"White",576
"1567","South","Metropolitan",34,"HighSchoolDiploma",39,"Black",730.76
"1568","Midwest","Metropolitan",51,"EleventhGrade",37,"Black",717.6
"1569","West","Metropolitan",38,"FifthorSixthGrade",33,"White",320
"1570","South","Metropolitan",38,"FifthorSixthGrade",33,"White",560
"1571","Northeast","Metropolitan",55,"MastersDegree",44,"White",2884.61
"1572","Northeast","Metropolitan",42,"AssocDegAcadem",42,"White",600
"1573","Northeast","Metropolitan",39,"BachelorsDegree",43,"White",884.61
"1574","West","Metropolitan",49,"SomeCollegeButNoDegree",40,"White",2884.61
"1575","Midwest","Not Metropolitan",45,"AssocDegOccupVocat",41,"White",1384
"1576","South","Not Metropolitan",38,"BachelorsDegree",43,"White",1100
"1577","West","Metropolitan",36,"BachelorsDegree",43,"Black",300
"1578","South","Metropolitan",51,"AssocDegOccupVocat",41,"White",680
"1579","South","Not Metropolitan",25,"HighSchoolDiploma",39,"White",850
"1580","Midwest","Metropolitan",52,"ProfSchoolDegree",45,"White",2884.61
"1581","South","Metropolitan",53,"HighSchoolDiploma",39,"White",2884.61
"1582","South","Not Metropolitan",22,"HighSchoolDiploma",39,"White",615.38
"1583","West","Metropolitan",35,"HighSchoolDiploma",39,"White",570
"1584","Northeast","Not Metropolitan",22,"SomeCollegeButNoDegree",40,"White",560
"1585","West","Metropolitan",45,"SomeCollegeButNoDegree",40,"White",960
"1586","Northeast","Metropolitan",58,"SomeCollegeButNoDegree",40,"White",1173.07
"1587","West","Metropolitan",61,"BachelorsDegree",43,"Black",1153.84
"1588","Northeast","Metropolitan",31,"SomeCollegeButNoDegree",40,"White",360
"1589","Midwest","Not Metropolitan",38,"LessThanFirstGrade",31,"White",1000
"1590","Midwest","Metropolitan",38,"BachelorsDegree",43,"White",1346.15
"1591","Midwest","Metropolitan",21,"SomeCollegeButNoDegree",40,"White",420
"1592","South","Metropolitan",51,"HighSchoolDiploma",39,"White",1470
"1593","South","Metropolitan",59,"HighSchoolDiploma",39,"White",961
"1594","South","Metropolitan",44,"HighSchoolDiploma",39,"White",640
"1595","Northeast","Not Metropolitan",42,"HighSchoolDiploma",39,"White",942.3
"1596","Northeast","Metropolitan",33,"SomeCollegeButNoDegree",40,"White",1711.53
"1597","South","Metropolitan",48,"HighSchoolDiploma",39,"Black",730.76
"1598","Northeast","Metropolitan",25,"SomeCollegeButNoDegree",40,"White",440
"1599","South","Metropolitan",41,"HighSchoolDiploma",39,"White",1192
"1600","Midwest","Metropolitan",57,"BachelorsDegree",43,"Black",1578.5
"1601","Midwest","Metropolitan",38,"TwelthButNoDiploma",38,"White",400
"1602","Northeast","Metropolitan",33,"BachelorsDegree",43,"White",1923.07
"1603","West","Metropolitan",25,"BachelorsDegree",43,"White",1500
"1604","West","Metropolitan",56,"TwelthButNoDiploma",38,"White",969.23
"1605","West","Metropolitan",61,"SomeCollegeButNoDegree",40,"White",600
"1606","Midwest","Not Metropolitan",44,"AssocDegOccupVocat",41,"White",961
"1607","Northeast","Metropolitan",49,"BachelorsDegree",43,"White",2115
"1608","Northeast","Metropolitan",44,"HighSchoolDiploma",39,"White",672
