"","State","Representative","Party","Pro05","Anti05","Pro06","Anti06","Pro07","Anti07","PctPro"
"451","Texas","Green, G.","D",7,10,7,4,13,7,56.25
"452","Texas","Johnson, E.B.","D",16,2,9,3,16,4,82
"453","Texas","Carter","R",0,17,0,12,0,20,0
"454","Texas","Sessions, P.","R",0,17,0,12,0,20,0
"455","Utah","Bishop, R.","R",0,18,0,11,0,20,0
"456","Utah","Matheson","D",10,8,7,5,11,9,56
"457","Utah","Cannon","R",0,18,0,8,2,18,4.35
"458","Vermont","Sanders","I",17,0,12,0,NA,NA,100
"459","Vermont","Welch","D",NA,NA,NA,NA,19,1,95
"460","Virginia","Davis, Jo Ann","R",2,14,5,7,0,20,14.58
"461","Virginia","Drake","R",1,17,2,10,2,18,10
"462","Virginia","Scott, B.","D",15,3,12,0,18,2,90
"463","Virginia","Forbes","R",1,17,1,11,1,19,6
"464","Virginia","Goode","R",5,13,0,12,0,20,10
"465","Virginia","Goodlatte","R",0,18,0,12,0,20,0
"466","Virginia","Cantor","R",1,17,1,11,1,19,6
"467","Virginia","Moran, James","D",16,2,11,1,19,1,92
"468","Virginia"," Boucher","D",10,8,8,1,15,5,70.21
"469","Virginia","Wolf","R",5,13,3,9,12,8,40
"470","Virginia","Davis, T.","R",6,12,6,6,8,12,40
"471","Washington","Insleee","D",18,0,12,0,19,1,98
"472","Washington","Larsen, R.","D",16,2,10,2,16,4,84
"473","Washington","Baird","D",17,1,10,2,19,1,92
"474","Washington","Hastings, D.","R",0,18,0,12,1,19,2
"475","Washington","McMorris","R",0,18,0,11,1,19,2.04
"476","Washington","Dicks","D",15,3,9,1,19,1,89.58
"477","Washington","McDermott","D",17,1,12,0,19,1,96
"478","Washington","Reichtert","R",5,13,8,4,17,3,60
"479","Washington","Smith, A.","D",18,0,12,0,18,2,96
"480","West Virginia","Mollohan","D",10,8,7,4,11,9,57.14
"481","West Virginia","Capito","R",2,16,3,9,4,16,18
"482","West Virginia","Rahall","D",15,3,11,1,15,5,82
"483","Wisconsin","Ryan, P.","R",2,16,2,10,5,15,18
"484","Wisconsin","Baldwin","D",18,0,12,0,20,0,100
"485","Wisconsin","Kind","D",18,0,11,1,19,1,96
"486","Wisconsin","Moore, G.","D",18,0,12,0,19,1,98
"487","Wisconsin","Sensenbrenner","R",3,15,3,9,4,16,20
"488","Wisconsin","Petri","R",3,15,8,4,10,10,42
"489","Wisconsin","Obey","D",18,0,12,0,18,2,96
"490","Wisconsin","Green, M.","R",4,14,4,8,NA,NA,26.67
"491","Wisconsin","Kagen","D",NA,NA,NA,NA,18,2,90
"492","Wyoming","Cubin","R",1,15,0,11,0,20,2.13
