"","Subject","Imagazine","Inewspaper","Ilibrary","MotherEd","FatherEd","FamilyIncome78","Race","Gender","Educ","Science","Arith","Word","Parag","Numer","Coding","Auto","Math","Mechanic","Elec","AFQT","Income2005","Esteem1","Esteem2","Esteem3","Esteem4","Esteem5","Esteem6","Esteem7","Esteem8","Esteem9","Esteem10"
"570",1399,1,1,0,10,16,20000,1,"female",14,14,20,30,14,48,65,10,15,13,9,74.636,45000,1,1,4,2,4,2,2,3,4,4
"571",1411,0,0,0,9,7,8300,3,"female",14,15,15,32,10,22,50,13,12,14,9,45.789,16000,3,2,2,2,2,3,3,2,2,2
"572",1413,0,1,0,9,8,3000,1,"male",11,7,7,11,6,25,36,15,5,11,4,1.65,19000,2,2,3,2,2,3,2,2,3,3
"573",1416,1,0,1,9,12,15888,3,"female",12,12,10,13,11,27,46,7,8,11,6,20.731,12000,2,2,3,2,3,2,2,3,3,3
"574",1417,0,1,0,9,12,15888,3,"male",12,11,11,18,9,27,33,13,6,11,6,24.893,31000,2,1,3,2,3,2,3,2,3,3
"575",1418,1,0,1,9,12,24000,1,"male",12,15,17,23,10,27,13,12,13,11,10,61.57,41000,2,2,4,2,4,2,3,2,3,3
"576",1419,1,0,1,9,10,24000,1,"female",12,6,9,7,5,13,35,5,6,6,7,4.111,22000,3,2,3,2,3,2,1,4,4,4
"577",1425,1,1,0,12,14,20000,3,"male",12,20,25,27,13,34,42,17,18,22,17,77.186,38000,1,1,4,1,4,1,2,3,4,4
"578",1426,1,1,1,13,15,20000,3,"female",12,17,15,29,12,48,57,16,12,15,12,54.506,38685,1,1,4,1,4,1,1,4,4,4
"579",1429,1,1,0,10,20,50000,3,"male",16,15,21,34,14,48,56,9,21,11,7,82.219,30000,2,2,3,3,2,2,3,2,2,2
"580",1432,0,1,0,11,12,10000,2,"male",16,16,8,20,10,25,41,10,7,7,10,18.811,42000,2,2,3,2,3,2,2,3,3,3
"581",1433,0,1,0,11,12,10000,2,"male",17,11,15,21,8,32,23,11,16,16,13,36.667,50000,1,1,4,1,4,1,2,3,4,4
"582",1434,0,0,0,6,4,6200,3,"male",11,12,10,6,2,14,16,3,4,9,5,1.985,31980,1,1,3,1,3,1,1,3,3,3
"583",1436,0,1,0,11,4,1968,2,"female",11,9,9,10,5,14,11,7,8,8,5,8.681,10000,2,2,3,2,3,2,2,2,3,3
"584",1438,0,1,1,10,9,1300,2,"female",12,11,9,9,5,22,47,3,5,8,5,4.199,27000,2,2,3,2,3,2,2,3,3,3
"585",1440,0,0,1,11,9,0,2,"female",13,7,8,15,7,18,29,7,7,6,7,10.283,22000,1,1,4,1,4,1,1,4,4,4
"586",1455,0,0,0,4,12,16000,3,"female",7,9,8,15,10,21,37,9,9,15,7,14.511,25000,2,2,3,2,1,3,3,2,2,2
"587",1459,0,1,0,7,6,10404,3,"female",14,20,23,28,14,35,42,14,20,19,14,85.258,40000,1,1,4,1,4,1,1,4,4,4
"588",1462,1,1,1,10,10,15000,3,"male",12,14,17,32,11,38,41,21,11,16,14,33.171,28600,2,2,3,2,4,2,2,2,2,3
"589",1468,1,1,1,12,7,52800,3,"male",12,19,15,28,13,35,18,19,7,20,15,36.634,29000,2,2,3,2,3,2,2,2,2,3
"590",1470,0,1,1,11,12,0,3,"female",18,13,16,32,13,37,39,14,13,6,11,64.514,35000,2,2,3,2,3,2,2,3,3,3
"591",1471,1,1,0,10,6,7600,3,"male",8,13,16,20,6,27,42,19,6,13,15,15.586,50000,2,2,3,2,3,2,2,3,3,3
"592",1477,0,1,1,12,12,30000,3,"male",16,17,23,27,12,24,38,22,16,21,17,48.936,70000,1,1,4,1,4,2,2,4,4,4
"593",1479,1,1,1,13,17,60000,3,"male",18,19,29,33,15,42,65,13,22,22,17,97.372,100000,2,2,3,2,3,2,2,3,3,3
"594",1481,1,1,0,12,8,5342,2,"male",16,19,25,27,9,34,52,14,19,14,10,49.641,71000,1,1,4,1,4,1,1,4,4,4
"595",1484,1,1,1,7,12,7044,2,"female",13,12,8,9,4,19,29,9,5,7,4,2.513,40000,1,1,4,1,4,1,1,4,4,4
"596",1487,0,1,1,12,18,12000,2,"female",13,12,16,23,12,50,74,7,9,6,8,42.852,45000,1,2,4,2,4,1,2,4,3,4
"597",1490,0,0,0,10,11,8460,2,"female",12,13,7,17,7,34,30,8,9,9,7,19.642,25000,1,1,4,2,3,1,3,4,2,4
"598",1491,0,0,1,10,14,7000,2,"female",13,12,9,18,8,22,38,6,8,6,10,14.083,39000,1,1,4,1,4,1,1,4,4,4
"599",1492,1,1,1,12,10,41000,3,"male",14,18,27,29,15,26,47,20,19,20,16,82.535,45000,2,2,3,2,3,2,2,3,3,3
"600",1493,1,0,1,12,12,19000,3,"female",12,16,14,26,15,35,48,11,13,10,8,65.038,245549,1,1,4,2,4,2,1,3,3,3
"601",1495,0,0,0,9,5,19000,3,"female",12,13,11,24,11,33,45,9,6,5,7,19.342,15000,2,2,3,2,3,2,2,3,3,3
"602",1499,1,1,1,14,15,21700,3,"female",12,21,16,27,15,47,70,18,13,16,11,47.406,16000,2,2,4,2,3,2,2,3,3,2
"603",1500,1,1,1,6,9,26000,3,"male",12,16,12,28,7,9,21,21,7,21,12,24.715,50000,1,1,4,1,4,1,1,3,4,4
"604",1501,1,1,1,16,16,45000,3,"male",17,18,30,33,15,30,49,24,22,22,19,97.458,60000,2,2,3,2,3,2,2,3,3,3
"605",1502,1,1,1,16,16,45000,3,"female",16,21,29,32,14,50,61,16,24,11,12,98.242,12000,2,2,3,2,3,2,2,2,2,2
"606",1503,1,1,1,16,18,8000,3,"male",20,19,28,32,11,38,49,19,23,16,14,84.661,58000,1,1,4,1,4,1,1,4,3,4
"607",1506,0,0,1,12,19,20795,3,"male",12,24,27,34,15,29,51,23,15,25,18,88.937,42000,2,1,4,2,1,2,4,4,3,3
"608",1507,0,1,1,14,16,20000,3,"female",12,16,13,31,14,45,73,12,11,11,11,60.833,22000,1,1,4,1,4,1,2,3,2,3
"609",1508,0,1,1,14,16,20000,3,"male",14,19,30,34,13,50,67,10,22,18,12,96.289,35000,1,1,4,2,4,1,2,3,3,4
"610",1509,1,1,1,13,12,4000,3,"male",17,23,28,35,15,41,51,19,15,20,17,90.493,25000,1,1,4,1,4,1,2,4,4,4
"611",1510,0,1,1,12,14,12000,3,"female",16,14,23,24,13,28,50,10,15,14,9,66.956,26000,2,2,3,2,4,2,2,2,3,3
"612",1512,1,1,1,16,13,30500,3,"female",15,20,29,33,12,50,70,10,19,13,10,80.758,15000,1,1,4,1,4,2,1,4,2,3
"613",1514,1,0,0,12,12,50000,3,"female",13,15,11,26,12,49,39,14,20,10,12,45.16,51000,2,2,3,2,3,2,2,3,3,3
"614",1515,1,1,1,12,11,50000,3,"male",12,15,16,27,9,36,49,12,14,20,14,44.773,67000,2,2,4,2,4,2,2,4,4,4
"615",1516,0,1,0,11,6,10500,2,"female",12,12,7,21,7,38,43,9,6,6,7,8.674,23300,2,1,4,2,4,2,2,3,3,3
"616",1521,1,1,1,12,10,16000,2,"male",12,13,14,18,7,35,30,16,8,16,12,21.457,41000,1,1,3,1,3,1,1,3,2,3
"617",1522,1,1,0,11,10,21000,2,"female",16,17,29,25,13,50,56,12,23,15,9,67.176,51300,1,1,3,2,2,2,2,2,2,3
"618",1527,1,1,0,11,10,8200,2,"male",12,5,7,9,4,22,15,7,5,8,2,2.099,28000,1,1,4,1,4,1,1,4,4,4
"619",1529,0,1,0,6,12,14000,2,"female",13,13,12,27,12,17,49,10,7,5,7,35.947,23000,2,2,3,2,3,2,2,3,3,3
"620",1530,1,1,0,6,12,14000,2,"female",15,10,13,21,7,28,34,7,9,9,5,30.909,28000,2,1,3,2,3,2,3,3,4,4
"621",1531,0,1,1,13,12,22500,3,"female",12,13,21,18,11,48,24,8,17,11,6,44.428,26000,1,1,3,1,4,1,1,4,4,4
"622",1532,1,1,1,12,9,22500,3,"female",12,9,15,14,15,48,40,7,18,12,6,57.544,17407,2,2,3,2,3,2,3,3,3,3
"623",1534,1,1,1,12,10,26000,1,"female",12,5,11,20,12,40,55,8,8,11,10,27.174,52000,1,1,4,1,4,1,1,4,3,4
"624",1538,0,1,1,13,8,4500,1,"female",18,16,13,18,12,38,29,9,9,11,7,30.59,45000,1,1,4,1,4,1,1,4,4,4
"625",1539,1,1,1,12,10,2500,3,"female",12,17,15,34,15,40,54,12,17,8,12,77.51,30000,1,1,4,1,4,1,1,3,4,4
"626",1541,1,1,1,12,9,24800,3,"female",12,17,7,24,11,32,54,9,7,8,8,22.337,41400,1,1,4,1,4,1,1,4,4,4
"627",1547,1,1,0,12,13,13000,3,"male",11,14,24,23,11,42,49,18,11,15,11,43.214,85000,1,1,4,1,4,1,2,2,4,4
"628",1548,0,1,1,10,10,5172,3,"female",10,11,15,26,11,33,37,8,11,7,6,40.716,4000,1,1,4,1,4,2,2,4,4,4
"629",1551,1,1,0,9,10,28009,3,"female",12,17,9,29,11,32,55,13,9,9,9,25.797,19000,1,1,4,1,4,2,1,4,3,4
"630",1552,0,1,0,10,12,23000,3,"female",16,13,9,25,13,34,32,12,5,13,4,24.669,9200,2,2,3,2,3,2,2,3,3,3
"631",1553,1,1,1,12,10,18012,3,"female",12,19,28,31,14,50,63,12,19,13,17,79.584,40000,1,1,4,1,4,1,1,4,4,4
"632",1554,1,1,1,12,14,29900,3,"male",12,18,21,26,12,42,43,16,18,21,15,52.176,59000,2,2,3,2,3,2,2,2,3,3
"633",1555,0,1,1,12,14,29900,3,"male",14,24,20,31,12,44,48,18,24,21,18,69.185,28352,1,1,4,2,4,2,2,3,2,3
"634",1556,0,1,1,12,14,29900,3,"male",12,17,26,23,13,38,55,20,20,22,16,69.556,32176,1,1,3,1,1,1,1,4,4,4
"635",1558,1,1,1,12,14,25000,3,"female",14,11,27,21,12,46,58,10,10,15,8,60.233,12000,1,1,4,3,4,2,3,3,4,4
"636",1560,0,1,1,12,18,22000,3,"male",12,14,18,19,9,27,32,17,4,13,13,21.06,19000,2,2,3,3,3,2,2,3,3,3
"637",1564,1,1,1,13,14,40000,3,"female",16,20,24,34,15,36,55,18,13,14,14,84.972,3400,2,2,3,2,3,2,2,2,3,3
"638",1566,0,0,0,15,8,19916,3,"female",15,17,19,33,13,37,62,16,16,19,14,65.249,39100,1,1,4,2,4,1,1,3,2,4
"639",1568,1,1,1,12,14,28000,3,"female",14,18,17,35,15,27,40,15,16,12,11,79.707,6000,2,2,3,2,3,2,3,2,2,3
"640",1569,1,1,0,12,12,25000,3,"male",16,25,22,34,13,25,24,17,13,17,18,72.895,63000,1,1,3,2,4,2,2,3,4,4
"641",1571,0,1,1,12,16,25000,3,"female",15,17,15,35,14,30,55,13,14,11,14,77.537,45000,2,2,4,2,4,2,2,3,3,4
"642",1574,1,1,1,12,15,40000,3,"male",16,22,25,33,14,39,57,15,24,20,17,90.317,47000,1,1,4,1,4,1,1,4,4,4
"643",1575,1,1,1,12,13,29000,3,"male",14,15,16,26,11,44,53,19,13,14,17,33.184,171551,1,1,3,1,3,1,1,3,3,3
"644",1577,1,1,1,12,12,29000,3,"male",12,21,19,32,11,37,56,23,15,18,18,60.11,59000,1,2,3,1,3,1,2,3,3,3
"645",1580,1,1,0,12,12,32000,3,"male",12,16,8,22,6,24,31,21,9,11,9,21.756,56000,2,2,4,2,4,2,2,2,4,4
"646",1585,1,1,0,16,13,30000,3,"male",12,13,18,25,13,36,41,16,11,15,13,54.802,60000,2,2,4,2,4,1,2,3,3,3
"647",1586,1,1,0,16,13,30000,3,"female",15,17,17,26,14,41,26,14,20,14,10,69.894,54000,2,2,3,2,3,2,2,3,3,3
"648",1587,1,1,1,16,17,30000,3,"female",16,25,27,34,15,49,59,13,21,17,12,92.892,27300,1,1,4,1,3,2,2,3,3,3
"649",1590,1,0,0,11,11,14000,3,"male",12,12,10,21,10,37,39,18,7,12,14,22.782,16000,2,2,4,2,4,2,2,4,4,4
"650",1591,1,0,0,11,11,14000,3,"male",12,15,16,24,9,28,49,19,7,14,9,33.418,7000,2,2,4,3,3,2,3,3,2,2
"651",1592,1,1,0,11,11,14000,3,"female",12,14,14,17,9,30,51,10,7,12,8,27.228,10000,1,1,4,2,4,1,3,2,3,3
"652",1593,1,1,1,12,10,22595,3,"female",12,12,10,24,9,40,57,6,7,4,10,14.232,17000,2,2,3,2,3,2,2,2,2,3
"653",1595,0,1,1,12,12,24000,3,"male",12,20,12,30,13,23,21,17,6,16,12,44.794,120000,1,1,3,1,3,1,1,3,3,3
"654",1597,0,1,1,10,12,15000,3,"male",12,17,19,27,13,41,66,16,20,17,13,67.922,52000,1,1,4,1,1,1,1,2,1,4
"655",1598,1,1,1,10,12,15000,3,"female",14,12,21,27,10,41,62,12,21,10,6,70.988,35000,2,2,3,1,3,2,2,3,3,4
"656",1599,0,1,1,11,12,11962,3,"female",12,15,20,31,12,39,40,14,14,12,13,43.417,24000,1,1,3,1,3,1,1,3,3,3
"657",1601,1,1,0,12,12,15000,3,"male",16,16,14,26,13,47,55,20,12,12,9,53.921,368302,1,1,4,1,4,1,1,4,4,4
"658",1602,0,1,0,12,12,15000,3,"male",12,12,15,25,11,39,51,15,17,10,12,54.571,90000,1,2,3,2,3,2,2,3,3,3
"659",1603,1,1,1,13,13,16889,3,"male",17,17,18,28,14,40,58,13,10,12,8,45.157,20000,1,1,4,1,4,1,1,4,4,4
"660",1605,1,1,1,13,14,12586,3,"female",12,16,14,30,13,24,58,10,8,11,12,40.773,40000,1,1,4,2,4,2,2,2,3,3
"661",1607,0,1,1,11,11,7599,3,"female",12,14,23,31,11,29,47,17,10,12,13,48.83,19200,1,2,4,1,4,1,1,1,1,1
"662",1608,0,1,0,10,12,8075,3,"female",12,21,16,33,13,30,44,15,11,10,10,58.11,11040,2,2,4,1,3,1,2,3,3,3
"663",1610,0,0,1,10,12,6920,3,"female",12,11,10,25,10,32,50,10,13,8,12,29.107,18000,1,1,4,1,4,1,1,4,4,4
"664",1617,1,1,0,12,12,20000,3,"female",12,12,13,27,9,35,60,8,5,7,6,21.965,20000,1,1,4,1,4,1,1,4,4,4
"665",1619,1,1,1,12,8,50000,3,"male",18,22,27,21,11,44,42,19,20,22,13,58.937,65000,1,1,4,1,4,2,2,2,4,4
"666",1621,1,1,1,17,17,50000,3,"female",17,22,30,32,12,45,55,19,24,18,16,87.899,35942,1,1,4,1,4,2,1,4,3,3
"667",1622,1,1,0,14,18,23000,3,"male",16,17,23,30,13,45,58,18,18,18,13,55.357,60000,1,2,4,1,4,2,2,4,4,4
"668",1626,1,1,1,16,14,23000,3,"male",16,21,29,34,14,49,74,19,24,23,15,96.046,73000,1,1,4,1,4,2,2,2,3,3
"669",1627,1,1,1,16,14,23000,3,"male",12,18,15,22,10,22,26,20,7,17,15,36.485,20000,2,2,3,2,3,2,2,3,3,3
"670",1629,1,1,1,12,12,16800,3,"female",12,19,17,30,13,36,44,16,17,18,13,65.439,100000,1,1,4,1,4,2,2,4,4,4
"671",1631,1,1,1,12,16,23000,3,"male",16,25,29,35,14,47,57,19,24,23,20,96.226,85000,1,1,4,1,4,1,1,4,4,4
"672",1632,1,1,1,12,16,23000,3,"male",18,24,30,33,15,43,55,23,25,25,15,98.63,100035,2,2,3,2,3,2,2,3,3,3
"673",1633,1,1,1,12,16,23000,3,"female",20,19,25,28,14,48,56,13,19,14,14,86.213,100000,2,2,3,2,3,2,2,3,3,3
"674",1635,1,1,1,12,12,20958,3,"male",12,17,15,22,13,39,51,17,15,16,11,53.399,40000,2,2,4,2,4,2,2,3,3,3
"675",1636,1,1,1,12,12,20958,3,"male",12,13,14,21,12,46,20,17,17,15,10,49.697,56000,1,1,3,2,4,1,1,3,3,3
"676",1637,1,1,1,16,16,30000,3,"male",12,10,24,25,12,29,32,16,13,10,12,60.861,15000,1,2,4,2,3,3,3,3,3,3
"677",1640,1,1,1,7,12,6085,3,"female",12,17,18,30,12,50,52,14,18,15,9,51.871,48000,2,2,3,2,3,2,2,2,3,3
"678",1641,1,1,1,12,12,11000,1,"male",12,19,26,31,13,50,60,21,19,18,11,62.029,110000,1,1,4,1,4,1,2,4,2,4
"679",1642,0,0,0,6,6,6000,1,"female",14,3,8,13,2,12,30,7,3,4,5,1.532,75000,2,2,3,2,3,2,2,3,3,3
"680",1644,0,0,1,6,4,12000,1,"male",15,14,12,26,13,36,42,7,8,6,9,43.409,9400,1,1,4,1,4,1,1,4,4,4
"681",1651,1,1,1,11,9,24000,1,"male",12,17,24,28,11,48,71,19,22,15,7,71.136,153334,2,2,3,2,3,2,2,2,3,4
"682",1656,1,1,1,12,12,60000,3,"female",12,13,21,26,14,40,58,11,10,8,9,51.885,33000,1,1,4,1,4,1,1,4,4,4
"683",1659,1,1,1,12,12,60000,3,"male",14,14,22,26,10,36,39,17,16,14,10,61.986,26000,1,1,3,1,4,2,3,3,3,3
"684",1670,1,1,1,18,18,45000,3,"male",16,25,29,34,13,44,52,23,24,22,18,96.168,105000,1,1,4,1,4,1,1,3,3,3
"685",1719,1,1,1,16,12,55000,2,"female",18,16,13,30,13,40,20,10,16,6,8,48.05,60000,1,1,4,1,4,1,1,4,4,4
"686",1720,1,1,1,16,16,55000,2,"female",14,16,12,26,7,41,21,9,7,5,6,25.265,45000,1,1,4,1,4,1,1,4,4,4
"687",1721,0,0,0,2,2,37000,1,"male",12,9,10,12,5,46,30,10,4,6,5,7.672,80000,1,1,4,1,4,1,1,4,4,4
"688",1725,1,1,1,9,9,15000,3,"female",11,10,7,16,8,29,37,9,5,6,6,7.182,25000,1,1,4,1,4,1,2,2,2,2
"689",1729,0,1,0,9,12,9700,1,"female",12,12,20,17,11,37,49,7,8,13,10,30.508,24000,2,2,3,2,2,3,2,3,2,2
"690",1730,0,1,1,12,12,14000,3,"female",17,20,24,35,12,45,63,14,15,13,11,66.596,52000,1,1,4,1,4,2,2,3,4,4
"691",1733,1,1,1,17,12,14000,3,"female",16,15,25,26,15,47,58,14,24,11,5,84.465,115000,1,1,4,1,4,1,1,2,4,4
"692",1735,1,1,1,16,16,20000,3,"female",17,11,21,32,13,30,58,8,11,15,6,63.611,3000,2,2,3,2,3,2,2,3,3,3
"693",1739,1,1,1,12,20,40000,3,"male",15,23,30,32,15,37,59,25,25,25,16,95.901,10000,2,2,4,2,1,2,2,3,2,4
"694",1740,1,1,1,12,20,40000,3,"female",16,18,12,31,14,43,48,13,12,10,11,49.857,19000,2,2,3,2,3,2,2,3,3,3
"695",1744,1,1,1,14,12,32000,3,"male",13,18,24,32,11,26,10,18,16,23,16,67.544,60000,2,2,3,2,3,2,2,1,3,3
"696",1746,1,1,1,15,16,3715,3,"male",19,25,29,33,14,50,66,22,25,22,17,96.851,116000,1,1,4,1,4,1,1,4,4,4
"697",1750,0,1,1,11,16,7000,1,"male",12,13,15,25,11,41,63,13,14,18,9,47.189,44000,1,1,3,2,3,1,1,3,3,3
"698",1751,0,0,0,10,15,7000,1,"female",13,13,7,15,5,32,45,9,5,11,8,4.888,35000,2,1,4,1,3,2,3,3,2,3
"699",1758,1,1,1,14,13,25000,2,"female",15,6,6,16,5,27,44,5,5,8,3,5.654,13000,1,1,3,1,3,1,2,3,3,3
"700",1763,1,0,1,14,13,17596,1,"male",16,17,19,30,13,35,41,20,21,14,15,69.733,22000,1,1,3,2,3,1,2,2,3,4
"701",1766,1,1,1,14,17,4022,3,"female",16,13,25,34,13,46,67,9,22,20,8,78.662,12000,1,1,4,2,4,2,2,3,2,4
"702",1768,0,1,0,10,10,20000,3,"female",12,16,14,27,11,34,36,10,11,11,10,36.71,8000,2,2,3,2,3,3,2,2,2,2
"703",1769,0,0,0,10,10,20000,3,"female",12,13,12,21,11,29,42,7,4,10,9,27.375,29515,2,2,3,2,3,2,2,3,3,3
"704",1775,1,1,1,9,10,27000,1,"female",13,10,14,21,9,42,18,10,11,14,8,35.079,34000,2,2,3,2,3,2,2,3,3,3
"705",1778,1,1,1,12,15,12312,3,"female",14,15,21,23,12,46,49,7,13,13,7,46.099,8000,1,1,4,1,3,2,3,3,3,3
"706",1779,0,1,0,12,12,18000,1,"male",11,12,13,21,6,33,50,16,13,9,12,28.861,74000,1,1,4,2,4,1,2,1,4,4
"707",1780,1,1,1,14,20,16000,3,"male",14,20,30,26,12,40,49,15,22,22,15,73.734,40000,1,1,4,1,4,1,2,4,4,4
"708",1781,1,1,1,11,11,4000,3,"male",15,15,23,29,12,39,17,22,9,23,17,39.081,100000,2,2,3,2,3,2,2,3,3,3
"709",1784,0,1,1,12,15,5000,3,"male",15,23,23,34,12,26,35,18,19,15,16,81.518,45000,2,2,3,2,3,2,3,2,2,3
"710",1785,0,1,1,8,12,6000,3,"female",15,8,12,11,5,26,8,10,7,8,3,9.875,29000,2,2,3,2,3,3,3,2,2,2
"711",1786,0,1,1,8,12,6000,3,"female",12,12,14,17,10,36,30,8,13,10,11,37.054,46800,1,1,3,1,3,2,2,3,3,3
"712",1787,1,1,1,12,12,10000,3,"female",17,10,15,22,11,30,55,9,15,9,6,47.805,52000,1,1,4,2,4,2,2,4,4,4
"713",1788,0,1,1,12,12,18000,3,"male",12,15,24,27,12,38,50,18,15,23,11,77.653,56856,1,1,4,2,4,1,2,4,4,4
"714",1790,1,1,1,13,15,8800,3,"male",12,23,20,34,14,26,52,22,11,22,17,71.533,34000,1,1,3,1,4,1,1,4,4,4
"715",1792,1,1,1,12,12,24000,3,"male",14,21,26,32,13,36,51,21,20,21,15,87.518,15000,1,1,4,1,4,1,1,3,3,4
"716",1795,1,1,1,12,16,18700,3,"female",20,14,17,30,12,49,55,13,11,9,13,40.415,108888,2,2,4,2,4,2,2,4,4,4
"717",1797,0,1,0,12,11,0,3,"female",9,17,16,31,11,38,50,15,12,12,13,56.703,3040,1,1,4,1,4,2,2,4,2,4
"718",1798,1,1,1,13,14,21200,3,"female",15,21,21,31,14,33,38,9,22,16,10,85.903,27100,1,1,3,3,3,1,1,2,2,2
"719",1802,1,1,1,12,16,40000,3,"male",12,24,26,28,11,37,34,21,20,22,16,77.562,27915,2,2,4,2,4,2,2,3,3,3
"720",1803,1,1,1,12,17,22000,3,"female",19,18,20,32,12,49,43,11,21,13,7,70.548,36000,1,1,3,2,3,2,2,2,2,2
"721",1804,1,1,1,13,16,40000,3,"female",17,20,29,34,14,50,77,13,20,16,11,91.449,12000,1,1,4,2,4,2,2,2,3,3
"722",1808,1,1,1,12,12,3840,3,"female",16,21,28,33,14,49,63,11,22,14,12,89.408,125000,1,1,4,1,4,2,2,4,4,4
"723",1810,1,1,1,12,12,75001,3,"male",13,19,17,25,12,44,45,21,9,15,11,53.687,155867,2,2,4,2,4,2,2,4,4,4
"724",1819,0,1,1,10,11,22000,1,"male",15,14,26,29,14,50,59,20,18,22,10,79.036,29000,1,1,4,1,4,2,2,3,3,4
"725",1820,0,0,0,6,6,8000,1,"male",8,15,11,27,1,13,38,10,4,9,8,13.65,8000,1,2,3,3,2,2,3,2,2,3
"726",1824,0,1,1,8,8,20300,1,"female",9,11,8,10,5,8,44,8,7,10,7,6.023,19000,2,2,3,2,3,2,2,3,3,3
"727",1826,0,1,1,12,8,5600,3,"female",12,16,17,32,13,47,60,11,11,6,10,62.879,45000,1,2,4,1,4,1,2,4,4,4
"728",1831,0,1,1,11,6,900,2,"female",15,14,7,23,10,29,50,8,7,5,3,24.374,64000,1,1,4,1,4,1,1,4,4,4
"729",1835,0,0,1,2,0,5000,1,"male",12,14,18,20,11,30,38,23,6,20,13,30.175,40000,1,1,4,1,4,1,1,3,1,1
"730",1836,1,0,1,2,0,5000,1,"male",14,17,18,24,9,50,59,15,16,16,12,51.237,50000,2,2,3,2,3,2,2,3,3,3
"731",1837,0,0,1,2,0,5000,1,"male",13,13,14,17,9,32,48,16,6,12,13,17.492,32000,1,2,3,2,3,2,2,4,3,3
"732",1838,0,1,0,8,6,12000,1,"female",12,10,6,15,11,40,53,8,7,7,4,13.046,17000,2,2,3,2,4,2,2,4,4,4
"733",1839,1,1,1,8,8,12000,1,"female",12,7,12,11,3,30,22,8,4,6,2,6.12,18000,1,2,3,2,4,1,1,3,3,3
"734",1841,1,1,1,12,13,25000,3,"female",20,16,29,34,15,33,63,18,20,14,10,92.678,85000,1,2,3,2,3,2,2,3,3,3
"735",1844,1,0,1,15,18,11270,3,"female",18,19,26,35,15,49,82,14,17,19,14,87.281,188404,1,1,4,2,4,2,1,4,4,4
"736",1846,1,1,1,16,16,75001,3,"male",18,21,26,32,14,50,75,19,23,14,15,73.252,192896,2,2,3,2,3,2,2,3,3,3
"737",1847,1,1,1,12,10,7000,1,"female",14,17,20,32,14,47,54,13,19,10,10,74.288,68000,2,2,4,2,4,2,2,2,3,3
"738",1848,1,1,1,12,12,20000,1,"female",13,9,14,26,9,35,50,13,6,6,7,29.189,46000,1,1,4,1,3,1,1,3,3,4
"739",1858,1,1,1,14,18,45000,3,"female",18,17,19,32,14,33,37,12,20,18,11,75.798,68000,1,1,4,1,4,2,2,3,4,3
"740",1860,0,1,0,12,12,16420,3,"female",12,13,17,22,9,33,49,11,11,12,7,40.414,29000,2,2,4,2,4,2,2,3,4,4
"741",1862,1,1,1,11,12,5000,3,"female",12,13,16,21,10,38,52,8,12,6,12,31.547,900,1,1,4,1,4,1,1,4,4,4
"742",1863,1,1,1,12,12,19784,3,"female",12,12,20,31,15,45,74,13,10,9,17,61.428,20000,2,2,4,2,4,1,1,4,4,4
"743",1865,0,1,1,11,12,3700,3,"female",12,17,7,31,13,30,48,13,5,8,9,27.567,28000,1,1,3,2,4,1,1,2,3,4
"744",1866,0,0,0,10,12,19000,3,"female",12,14,21,22,12,42,55,6,11,13,7,42.755,25000,2,2,3,2,3,2,2,3,3,3
"745",1867,0,1,0,10,12,19000,3,"male",12,23,26,33,14,40,21,24,21,21,19,89.968,52000,2,2,3,1,3,2,2,3,3,3
"746",1868,0,1,0,12,12,25000,3,"female",13,14,12,28,12,38,54,9,11,10,12,35.098,26500,2,2,3,2,3,2,2,3,3,3
"747",1869,0,1,0,12,12,25000,3,"male",12,17,15,25,6,34,33,16,4,11,10,26.004,14000,2,2,3,2,3,2,2,3,3,3
"748",1872,0,1,0,8,8,23496,3,"male",12,10,10,21,11,16,23,22,6,15,14,18.192,35000,2,2,3,2,3,2,2,3,4,4
"749",1873,0,1,0,8,8,23496,3,"male",12,12,10,20,5,23,34,21,5,8,7,16.817,22000,4,1,4,1,4,1,1,1,4,4
"750",1875,1,1,1,12,12,22000,3,"male",18,25,30,33,13,46,80,17,25,22,17,90.923,130000,1,1,4,1,4,2,2,4,4,4
"751",1878,0,1,1,12,12,17530,3,"female",12,12,15,27,12,24,42,7,9,6,9,29.321,8000,2,2,3,2,3,2,2,3,3,3
"752",1880,1,1,1,12,12,27000,3,"female",20,16,29,33,13,50,64,18,24,16,12,88.272,30000,1,1,4,2,3,2,2,4,4,4
"753",1881,1,1,1,12,12,27000,3,"male",12,14,16,26,7,33,48,21,16,18,16,42.474,40000,3,2,4,2,3,2,2,4,3,3
"754",1884,0,1,0,12,12,40000,3,"male",12,15,11,28,12,43,51,9,6,6,6,42.428,12500,2,2,3,2,3,2,2,3,3,3
"755",1885,1,1,0,12,12,40000,3,"female",16,17,17,32,13,40,53,9,17,11,13,65.232,35000,2,2,3,2,3,2,2,3,3,3
"756",1887,1,1,1,8,9,10000,3,"male",12,12,7,12,4,16,22,9,9,9,6,9.128,11000,2,2,3,2,3,2,2,3,3,3
"757",1889,1,1,1,8,9,10000,3,"male",13,15,16,28,11,29,59,8,10,15,14,42.279,35675,1,1,3,1,4,1,1,4,4,4
"758",1890,0,1,1,8,9,10000,3,"male",12,13,7,13,9,20,40,11,4,6,10,13.298,18000,2,2,3,2,3,2,2,2,3,3
