"","CommonName","Genus","Species","Group","BodyMass","ClutchVolume"
"397","Small-billed Tinamou","Crypturellus","parvirostris","Pat",0.22,74400
"398","Tataupa Tinamou","Crypturellus","tataupa","Pat",0.22,93800
"399","Thicket Tinamou","Crypturellus","cinnamomeus","Pat",0.422,224000
"400","Undulated Tinamou","Crypturellus","undulatus","Pat",0.567,210000
"401","Variegated Tinamou","Crypturellus","variegatus","Pat",0.317,30400
"402","Elegant Crested Tinamou","Eudromia","elegans","Pat",0.704,263000
"403","Highland Tinamou","Nothocercus","bonapartei","Pat",0.925,637000
"404","Brushland Tinamou","Nothoprocta","cinerascens","Pat",0.526,325000
"405","Chilean Tinamou","Nothoprocta","perdicaria","Pat",0.458,212000
"406","Ornate Tinamou","Nothoprocta","ornata","Pat",0.622,252000
"407","Spotted Nothura","Nothura","maculosa","Pat",0.258,109000
"408","Darwin's Nothura","Nothura","darwinii","Pat",0.246,122000
"409","Red-winged Tinamou","Rhynchotus","rufescens","Pat",0.845,265000
"410","Black Tinamou","Tinamus","osgoodi","Pat",1.29,197000
"411","Gray Tinamou","Tinamus","tao","Pat",1.6,610000
"412","Great Tinamou","Tinamus","major","Pat",1.03,307000
"413","Solitary Tinamou","Tinamus","solitarius","Pat",1.39,486000
"414","Resplendent Quetzal","Pharomachrus","mocino","BiP",0.203,25100
"415","Citreoline Trogon","Trogon","citreolus","BiP",0.079,23100
"416","Amurosaurus","Lambeosaurine","riabinini","Othr",2500,92200000
"417","Maiasaura","Maiasaura","peeblesorum","Othr",2500,14400000
"418","Massospondylus","Massospondylus","carinatus","Othr",107,678000
"419","Oviraptor","Oviraptor","philoceratops","Mani",39,7140000
"420","Lourinhanosaurus","Lourinhanosaurus","antunesi","Othr",176,7070000
"421","Citipati","Citipati","osmolskae","Mani",79.2,8770000
"422","Troodon","Troodon","formosus","Mani",51.4,7580000
"423","Megaloolithus","Megaloolithus","patagonicus","Othr",5000,38500000
"424","Megaloolithus","Megaloolithus","sirguei","Othr",5000,41500000
"425","American Alligator","Alligator","mississippiensis","Croc",47.8,2540000
"426","Broad-snouted Caiman","Caiman","latirostris","Croc",14.6,2300000
"427","Yacare Caiman","Caiman","yacare","Croc",13,2230000
"428","Black Caiman","Melanosuchus","niger","Croc",82,4120000
"429","Cuvier's Dwarf Caiman","Paleosuchus","palpebrosus","Croc",5.9,811000
"430","Smooth-fronted Caiman","Paleosuchus","trigonatus","Croc",7.5,1150000
"431","American Crocodile","Crocodylus","acutus","Croc",76.7,2600000
"432","Slender-snouted Crocodile","Crocodylus","cataphractus","Croc",50.5,2290000
"433","Nile Crocodile","Crocodylus","niloticus","Croc",94.2,4310000
"434","Marsh Crocodile","Crocodylus","palustris","Croc",42.7,1950000
"435","Estuarine Crocodile","Crocodylus","porosus","Croc",78.7,5420000
"436","Orinoco Crocodile","Crocodylus","intermedius","Croc",108,4970000
"437","Freshwater Crocodile","Crocodylus","johnsoni","Croc",19.5,756000
"438","Philippine Crocodile","Crocodylus","mindorensis","Croc",36.9,997000
"439","Morelet's Crocodile","Crocodylus","moreletti","Croc",31.7,2710000
"440","New Guinea Crocodile","Crocodylus","novaeguineae","Croc",39.9,2160000
"441","Dwarf Crocodile","Osteolaemus","tetraspis","Croc",18.8,556000
"442","Gharial","Gavialis","gangeticus","Croc",147,7870000
"443","False Gharial","Tomistoma","schlegelii","Croc",119,5380000
